"imageUrl","title","totalScore","reviewsCount","instagrams/0","instagrams/1","instagrams/2","instagrams/3","facebooks/0","facebooks/1","facebooks/2","facebooks/3","facebooks/4","facebooks/5","linkedIns/0","linkedIns/1","linkedIns/2","linkedIns/3","linkedIns/4","linkedIns/5","linkedIns/6","linkedIns/7","linkedIns/8","linkedIns/9","linkedIns/10","linkedIns/11","linkedIns/12","linkedIns/13","linkedIns/14","linkedIns/15","linkedIns/16","linkedIns/17","linkedIns/18","linkedIns/19","linkedIns/20","linkedIns/21","linkedIns/22","linkedIns/23","linkedIns/24","linkedIns/25","linkedIns/26","linkedIns/27","linkedIns/28","linkedIns/29","linkedIns/30","linkedIns/31","linkedIns/32","linkedIns/33","linkedIns/34","linkedIns/35","linkedIns/36","linkedIns/37","linkedIns/38","linkedIns/39","linkedIns/40","linkedIns/41","linkedIns/42","linkedIns/43","linkedIns/44","linkedIns/45","linkedIns/46","linkedIns/47","linkedIns/48","linkedIns/49","youtubes/0","youtubes/1","youtubes/2","youtubes/3","youtubes/4","youtubes/5","youtubes/6","youtubes/7","youtubes/8","youtubes/9","youtubes/10","youtubes/11","youtubes/12","youtubes/13","youtubes/14","youtubes/15","youtubes/16","youtubes/17","youtubes/18","youtubes/19","youtubes/20","youtubes/21","youtubes/22","youtubes/23","youtubes/24","youtubes/25","youtubes/26","youtubes/27","youtubes/28","youtubes/29","youtubes/30","youtubes/31","youtubes/32","youtubes/33","youtubes/34","youtubes/35","youtubes/36","youtubes/37","youtubes/38","youtubes/39","youtubes/40","youtubes/41","youtubes/42","youtubes/43","youtubes/44","youtubes/45","youtubes/46","youtubes/47","youtubes/48","youtubes/49","tiktoks/0","tiktoks/1","twitters/0","twitters/1","twitters/2","twitters/3","twitters/4","twitters/5","twitters/6","twitters/7","phone","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","emails/6","emails/7","emails/8","emails/9","emails/10","emails/11","emails/12","emails/13","emails/14","emails/15","emails/16","emails/17","emails/18","emails/19","emails/20","emails/21","emails/22","emails/23","emails/24","emails/25","emails/26","emails/27","emails/28","emails/29","emails/30","emails/31","emails/32","emails/33","emails/34","emails/35","emails/36","emails/37","emails/38","emails/39","emails/40","emails/41","emails/42","emails/43","emails/44","city","website","url"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4B_ws-BqxXFFXojtlS1JKw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=96.14297&pitch=0&thumbfov=100","APR REALTOR","4.6","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 96325 55183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","https://www.facebook.com/APRREALTOR/","http://www.facebook.com/APRREALTOR/"
"https://lh3.googleusercontent.com/p/AF1QipN83o0RE6XcDY5uYZWxiiR__EKQ6J8oTVNoVs8V=w408-h408-k-no","Propment Realty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://propmentrealty.in/","https://www.google.com/maps/search/?api=1&query=Propment%20Realty&query_place_id=ChIJgwCl_beJEAYRakRF9EnhdL4"
"https://lh3.googleusercontent.com/p/AF1QipMCM54e0RLWGXJ361aMjO3NGJ6j3aOqawQVAaPT=w480-h240-k-no","BrandLand Advertising","4.7","65","https://www.instagram.com/your_marketing_partner","https://www.instagram.com/brandland_advertising",,,"https://www.facebook.com/brandland.in",,,,,,"https://www.linkedin.com/in/brand-land-73082081","https://www.linkedin.com/company/brandlandadvertising",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.youtube.com/channel/UC2y1JB1WV_GiicjxE5cTMLA","https://www.youtube.com/@brandland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://x.com/Brandlandian","https://x.com/brandland_adv",,,,,,,"+91 88844 66171","contact@brandland.in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","https://www.brandland.in/","https://www.google.com/maps/search/?api=1&query=BrandLand%20Advertising&query_place_id=ChIJ4Tmn6EIUrjsRt9ZtCWTyPHA"
"https://lh3.googleusercontent.com/p/AF1QipPCahNdODFfI6p7R3IiS208cAzY9nlUI-Mh_tRy=w408-h544-k-no","Viv's Den","4.9","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 84484 49464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Viv's%20Den&query_place_id=ChIJW9jpJwUVrjsR3-eUBt7zvp4"
"https://lh3.googleusercontent.com/gps-cs-s/AHVAwepvEzDBMvJP_Tw8_D8HJftjJkEWAZ06WHs095tt6vZi87YFQgQU4kkPk0Y6DL7zhojDIZaFHODPC0K-qVlSqTIQtYhntYR1Y1lrhMr3mIyude2M9Xq9QF9q4NxDW_Fwk9b4ml0jpvr3XCI=w527-h240-k-no","PropMagic","4.3","11","https://www.instagram.com/prop.magic",,,,"https://www.facebook.com/profile.php?id=61562547766156",,,,,,"https://www.linkedin.com/company/propmagic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"info@propmagic.co.in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.propmagic.co.in/","https://www.google.com/maps/search/?api=1&query=PropMagic&query_place_id=ChIJNzkFPNLsBmwRNtc-wAVz0lQ"
"https://lh3.googleusercontent.com/p/AF1QipMvK88eoyOw8AIBS71O3iEsImTxN-HQslv3V0MF=w408-h408-k-no","Hindustan Homes","2.9","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 74067 77709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Hindustan%20Homes&query_place_id=ChIJrU3gL_AVrjsRTQj5snZ_W_U"
"https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-HEvgbcaHOodUjmjUN6O8-sKbfp1vHUkeXroNwgaeVRsDKUla74Okc6RdVh9lfECW9oAVb8gnVEvqCl4KEBbzV_Wbx0gIuKcNeOk0EFJ1uYe1EcyRB9CWa-783I-VqcjaTpfumw=w408-h306-k-no","Keerthi Regalia","4.1","85","https://www.instagram.com/keerthiestatespvtltd",,,,"https://www.facebook.com/keerthiestatespvtltd",,,,,,"https://www.linkedin.com/company/keerthiestatespvtltd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://youtu.be/neRxEPXChnQ","https://youtu.be/pKMasN5zMvQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://x.com/keerthiestates_",,,,,,,,"+91 99666 03939","sales@keerthiestates.in","sales.blr@keerthiestates.in","admin@keerthiestates.in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","http://www.keerthiestates.in/","https://www.google.com/maps/search/?api=1&query=Keerthi%20Regalia&query_place_id=ChIJZRCnJRETrjsRsUlRy3VCglE"
"https://lh3.googleusercontent.com/gps-cs-s/AHVAweouJw--4iYRzGQRJCnSE3kkJWR0yf7TftKc3_Y8agoN_DpPZpXcHinSmZDb9ZdiMqqpS03qJpKE5pg0CdLKRBAcxIJ_ZeHXO0seCz7XJOpTa4B7Fo0xxr8bHm6x8WN1WoUlpCHD7Q=w426-h240-k-no","TVS Emerald Jardin","3.9","368","https://www.instagram.com/tvs_emerald",,,,"https://www.facebook.com/tvsemerald",,,,,,"https://www.linkedin.com/company/tvs-emerald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.youtube.com/watch?v=MrV9F82jmcU","https://www.youtube.com/watch?v=bwSNBGpPaAo","https://www.youtube.com/watch?v=EqkR3R0ZftQ","https://www.youtube.com/watch?v=aZCZugiOhGo","https://www.youtube.com/watch?v=VCCKHrb1Dxo","https://www.youtube.com/watch?v=4O_e7PtvNVs","https://www.youtube.com/watch?v=CKqgS70Oll0","https://www.youtube.com/watch?v=enWHO8SSA8s","https://www.youtube.com/watch?v=1iJq-i0EAuI","https://www.youtube.com/watch?v=oX0GWqzBXes","https://www.youtube.com/watch?v=kg6QdRv784k","https://www.youtube.com/watch?v=uQPSt96Rgsk","https://www.youtube.com/watch?v=mM3m5eHFOaQ","https://www.youtube.com/watch?v=UOqy3bj2_W4","https://www.youtube.com/watch?v=x0aAw5bHpvE","https://www.youtube.com/user/Emeraldhavenrealty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://twitter.com/tvsemerald",,,,,,,,"+91 80 6219 5010","gdpo@tvsemerald.com","contactus@tvsemerald.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","https://www.tvsemerald.com/lp/tvs-emerald-jardin/","https://www.google.com/maps/search/?api=1&query=TVS%20Emerald%20Jardin&query_place_id=ChIJwzRf66BrrjsR3CnEGmK_lkw"
"https://lh3.googleusercontent.com/p/AF1QipNO6gBbirezHrYYhaqlca728zB8x9IS8IDdu5Q=w408-h408-k-no","Muthoottu Mini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 80 2574 3433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","https://branches.muthoottumini.com/muthoottu-mini-in-karnataka-bengaluru-opposite-pralaksha-hospital-13556/Home","https://www.google.com/maps/search/?api=1&query=Muthoottu%20Mini&query_place_id=ChIJYxLy8gZtrjsRtyznirFCiqo"
"https://lh3.googleusercontent.com/p/AF1QipMP_2qdJKT_Sdbl2Y2p1hQMbrJ2RWBOX8VygTEz=w408-h408-k-no","Muthoottu Mini","5","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 80 4203 8578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","https://branches.muthoottumini.com/muthoottu-mini-in-karnataka-bengaluru-opposite-bata-showroom-51129/Home","https://www.google.com/maps/search/?api=1&query=Muthoottu%20Mini&query_place_id=ChIJQeCWqMBxrzsRpz-ZVJM4q4I"
