"imageUrl","title","totalScore","reviewsCount","instagrams/0","instagrams/1","facebooks/0","facebooks/1","linkedIns/0","linkedIns/1","linkedIns/2","linkedIns/3","linkedIns/4","youtubes/0","youtubes/1","youtubes/2","youtubes/3","youtubes/4","youtubes/5","tiktoks/0","twitters/0","twitters/1","phone","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","city","website","url"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SnJay-CAgu0VvBNvorg3bw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=254.10513&pitch=0&thumbfov=100","ThaRaf Holdings - ""Your Trusted Partner in Property & Investment""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=ThaRaf%20Holdings%20-%20%22Your%20Trusted%20Partner%20in%20Property%20%26%20Investment%22&query_place_id=ChIJ_wj13XMVrjsRZwoNdfGkofs"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VTbO70kPDlMx1NQijHQf1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=257.27026&pitch=0&thumbfov=100","Anant Investment & Tax Consulting",,,,,,,,,,,,,,,,,,,,,"+91 99450 18190",,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Anant%20Investment%20%26%20Tax%20Consulting&query_place_id=ChIJqVkIW8MVrjsRZjOVwJFsQQA"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zfzja19QwNpVcS44f0DSGw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=28.177475&pitch=0&thumbfov=100","YFMS PROPERTIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=YFMS%20PROPERTIES&query_place_id=ChIJCamwSwAVrjsRK_AOkc4Q0z0"
"https://lh3.googleusercontent.com/gps-cs-s/AHVAweoI8AV8tKb7WamRFMyYyFp_0vxGKKcmXofTe5_QNYO0_oIgE11isz3SmuEJ6xemsqlD7L_NuAT7UZvuHSEqjTGZ76K4SKEvPTkjlisKB5kyLMI6I5Tw9rlqs_ml6gPPkCGj3NFFKeywqAyb=w533-h240-k-no","OM Realtors Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=OM%20Realtors%20Group&query_place_id=ChIJbbDvVys_rjsR63dW6DJnZtU"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q2xaXGxHi6S_RMMt-AvcOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=300.20142&pitch=0&thumbfov=100","Sree Sumukha",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Sree%20Sumukha&query_place_id=ChIJscl751YVrjsR0WmQgGOWWAE"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jnzm03dL2fToDtyi2yJ77w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.24278&pitch=0&thumbfov=100","Elivate Spaces India Pvt. Ltd.",,,,,,,,,,,,,,,,,,,,,"+91 99022 69792","info@elivatespaces.com",,,,,,"Bengaluru","http://elivatespaces.com/","https://www.google.com/maps/search/?api=1&query=Elivate%20Spaces%20India%20Pvt.%20Ltd.&query_place_id=ChIJJQIb-mEVrjsRIRGGr3xIayg"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=koA7hGM5_LecarJxrs41_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.67537&pitch=0&thumbfov=100","SRR Royal Ventures",,,,,,,,,,,,,,,,,,,,,"+91 93805 03225","info@srrroyal.com","career@srrroyal.com","sales@srrroyal.com",,,,"Bengaluru","https://www.srrroyal.com/","https://www.google.com/maps/search/?api=1&query=SRR%20Royal%20Ventures&query_place_id=ChIJRcLf2mc_rjsReg2f1FmA8GU"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jHHjnzI_MZPOoKi_zGa4vQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=326.77814&pitch=0&thumbfov=100","JK Enterprises",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=JK%20Enterprises&query_place_id=ChIJa-dnHQA_rjsRv-3GPb-VO8M"
,"Preethi - CEO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru, Kothnur",,"https://www.google.com/maps/search/?api=1&query=Preethi%20-%20CEO&query_place_id=ChIJD8PwjJMVrjsRgfoUUXIuCgs"
"https://lh3.googleusercontent.com/p/AF1QipMA9Z7o6LSSVshDMHnx_-HfEu6bEihN8M_OaIMu=w408-h454-k-no","Epitome Real-estate",,,,,,,,,,,,,,,,,,,,,"+91 97403 01686",,,,,,,"Bengaluru","http://epitomereal-estate.com/?utm_source=gmb&utm_medium=referral","https://www.google.com/maps/search/?api=1&query=Epitome%20Real-estate&query_place_id=ChIJx2GwE3U_rjsRR4FiHjRLHdQ"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oF0FkSK_g2CFzusbYl9LvQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=45.83306&pitch=0&thumbfov=100","118 Ganapa",,,,,,,,,,,,,,,,,,,,,"+91 99452 82834",,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=118%20Ganapa&query_place_id=ChIJfaLwi2I_rjsRx1rfDa3Vcjc"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9XjdcLFSk-nSaA3O6OtVyQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.19094&pitch=0&thumbfov=100","Ecstatic realtors",,,,,,,,,,,,,,,,,,,,,"+91 81971 91421",,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Ecstatic%20realtors&query_place_id=ChIJx3IYMX4_rjsRfkIRRV7G_qs"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7pwTM8JySRK9ydASzOhJ5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.22833&pitch=0&thumbfov=100","Anil kumar cv",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru, Kothnur",,"https://www.google.com/maps/search/?api=1&query=Anil%20kumar%20cv&query_place_id=ChIJ57HwipAVrjsR8iuS_9nP2i0"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ad4G59J_myG2vZXQzghDIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=246.40636&pitch=0&thumbfov=100","Move-On Realtors",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Move-On%20Realtors&query_place_id=ChIJhZLYMiQ5rjsRPAhRIJ9Qgnk"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mPZka1Pmw70t1DKQce7YLw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.29988&pitch=0&thumbfov=100","Cityscape realtor",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Cityscape%20realtor&query_place_id=ChIJR-zMaQAVrjsRZoP0KOxh8-c"
"https://lh3.googleusercontent.com/p/AF1QipPG0uk2f5x6JblQyVa3Z-oU1LA5zup5K9nFchVH=w408-h306-k-no","Universal Associates",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Universal%20Associates&query_place_id=ChIJywZXHykVrjsRUslEg0eEr3E"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ImO6maEqXCJr9MTFKLg5zg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.42259&pitch=0&thumbfov=100","Global Real Estate Brand Awards (GREBA)",,,"https://www.instagram.com/grebawards",,"https://www.facebook.com/ExhibitionAsia.in",,"https://www.linkedin.com/company/global-real-estate-brand-awards",,,,,,,,,,,,,,"+91 96860 58608","info@greba.in","av@brimbus.com",,,,,"Bengaluru","https://www.greba.in/","https://www.google.com/maps/search/?api=1&query=Global%20Real%20Estate%20Brand%20Awards%20(GREBA)&query_place_id=ChIJq3K6HCgVrjsR_Z_3-TIVn9A"
"https://lh3.googleusercontent.com/p/AF1QipOm6abxYgko9rVTRc2zm-YsbSd2OTRNHiCTXq1T=w408-h307-k-no","CHAITRA ENTERPRISES",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=CHAITRA%20ENTERPRISES&query_place_id=ChIJq8jpfBkVrjsR_DxuAgnfp6Q"
"https://lh3.googleusercontent.com/p/AF1QipO-VP02trS2kYVj-UAnu70G-nC09PYKR31KFSzs=w427-h240-k-no","City Home Shelters",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=City%20Home%20Shelters&query_place_id=ChIJqyTFfvw_rjsRABZ1-I9-d0o"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PR9CFcTjyqo0uVvqMx9yFg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=296.01727&pitch=0&thumbfov=100","Realty Simplified",,,,,,,,,,,,,,,,,,,,,"+91 88840 04114",,,,,,,"Bengaluru","https://youtube.com/@realty-simplified","http://youtube.com/@realty-simplified"
