property_id,title,title,address,locality,latitude,longitude,built_area_sqft,carpet_area_sqft,bedrooms,bathrooms,floor,total_floors,age_years,facing,price_total,price_per_sqft,source,__source_file
prop_3c39d7b0c8d1,Muni Reddy Garden,,"WMFH+W8M, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_59426c698779,PFR Maze Garden,,"WM27+GMH, Eastwood Twp, Haralur, Bengaluru, Karnataka 560102, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_c380155d6997,Central Garden,,"&, J, Trillium, HFCL Ltd., 10th floor, Embassy Tech Village Blocks I, Outer Ring Rd, Devarabisanahalli, Bellandur, Bengaluru, Karnataka 560103, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_610e220f34a9,Msp garden and landscaping,,"Chikkathogur Main Rd, Pragathi Nagar, Basapura, Bengaluru, Karnataka 560100, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_9485254d4293,Udupi Garden Park,,"1005, 17th Main Rd, Tavarekere, Aicobo Nagar, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_3db9783f0e8a,Mana Jardin,,"Mana Jardin, Sarjapur - Marathahalli Rd, Radha Reddy Layout, Rainbow Drive, Bengaluru, Karnataka 560035, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_57f432a20467,Gujjappa gardens,,"Muthsandra Main Rd, Madhuranagara, Bengaluru, Karnataka 560087, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_0d703252853d,Vidhana Soudha Garden,,"Vidhana Soudha, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_1ddd3abe19a3,Municipal Ground,,"4, 22nd A Main Rd, Agara Village, 1st Sector, HSR Layout 5th Sector, Bengaluru, Karnataka 560102, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_5d7f80e900e0,ECC Centre Lawn,,"XPGQ+2X4, ECC Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_2c29bfa4ec1d,Kaikondrahalli Lake Kalyani,,"WM7G+8WX, Valliyamma Layout, Kaikondrahalli, Bengaluru, Karnataka 560035, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_052a3d88d519,"Horticulture Garden, Lalbagh",,"LALBAGH PARK, Mavalli, Bengaluru, Karnataka 560004, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_ef6de04b5608,BTR Gardens Layout,,"VJRW+2PP, Kudlu Main Rd, BTR Gardens, AECS Layout - A Block, Hal Layout, Singasandra, Bengaluru, Karnataka 560068, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
prop_97ca2fbdc427,Lake Side Park,,"VMX6+5PJ, Phase 2, Lakedew Residency, Haralur, Bengaluru, Karnataka 560102, India",,,,,,,,,,,,,,,amenities\dataset_crawler-google-places_2025-11-10_00-21-30-144.csv
