"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"80614801","2424-Sq-yrd-Commercial-Land-FOR-Sale-JP-Nagar-in-Bangalore&id=4d423830363134383031"," Commercial Land for Resale in J P Nagar","2025-07-24T05:15:33.000Z",,"39900000","1829","₹","Its a commercial land available in JP Nagar, Currently they have made a shed and they given it for rent for 7 years as of now 5.2 years completed.",,,"19201|Kalyani Magnum Techpark","19201|Kalyani Magnum","19202|British English School","19202|Silicon City Academy Of Secondary Education","19203|Divakars Speciallty Hospital","19203|Aster RV Hospital,JP Nagar","19210|Oxford College Metro Station","19210|Green Line Jaya Prakash Nagar Metro Station",,,"12.90369008,77.58574868","Infimax Advisors ","Infimax Advisors Pvt. Ltd",,"12800",,,"West",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/24/Photo_h180_w240/80614801_5_f91c4d4b55c4854b6e3f856ca179a75_180_240.jpg"
"80615183","27000-Sq-ft-Industrial-Land-FOR-Sale-Jigani-Industrial-Area-in-Bangalore&id=4d423830363135313833"," Industrial Land for Resale in Jigani Industrial Area","2025-07-27T23:25:04.000Z",,"135000000","5000","₹","This is in jigani industrial area KIDB area","This stratefically located industrial land for sale in Jigani Industrial Area is spread over a plot area of 27000.0 square feet. It can be yours at a reasonable price of ₹13.50 Cr. You can grab this land by paying a booking amount of Rs 100000. It is located in proximity to near to industrial area. The exact address of this industrial land for sale is Jigani Industrial Area, Bangalore - South, Karnataka.",,"19201|Cipla","19201|Infion Advanced Laser Systems Pvt. Ltd","19203|YK Hospital",,,,,,,"Near to industrial area","12.80522379,77.6281917","V S  Ahmad","Sweekar Estate Agency",,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/24/Photo_h180_w240/80615183_2_hatsAppImage20250723at09.45.012_180_240.jpeg"
"69150153","2400-Sq-ft-Commercial-Land-FOR-Sale-Park-View-Layout-in-Bangalore&id=4d423639313530313533"," Commercial Land for Resale in Park View Layout, Sahakara Nagar, Bellary Road","2025-09-08T23:45:28.000Z",,"64800000","27000","₹","NORTH EAST BDA A KATHA commercial property located in prime location at SAHAKARA NAGAR, it is well developed layout, surrounded by fully commercial like, hotels, super market, show roomes, etc, located in main road, lonable document, ready to construct, just 0.5 kilo meter from AIRPORT ROAD, proposed METRO.",,,,,,,,,,,,"KAVERI SCHOOL.","13.06624908,77.59206835","Bharath","Bharath Estate",,"12850",,,"North - East",,"Bangalore",,"Bangalore, Karnataka",,,,,
"81275459","1499-Sq-ft-Commercial-Land-FOR-Sale-Devanahalli-in-Bangalore&id=4d423831323735343539"," Commercial Land for New Property in Kuteera Green Homes at Devanahalli","2025-09-08T09:18:17.000Z",,"4077600","2720","₹","Commercial land is available for sale. It is a good location property. Please contact for more details.",,,"19201|Kiadb It Park","19201|Drogher's Hub Supermarket","19202|Daffodils School","19202|Sri Krishna College Of Education","19203|Ramaiah Leena Hospital","19203|Akash Hospital","19209|Kempegowda International Airport Bengaluru","19210|Devanahalli Bus Stop","19210|Devanahalli - Railway Station",,"13.24032816,77.71506051","Paveen Appi",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/08/Photo_h180_w240/81275459_4_1000086186_180_240.jpg"
"81243069","1200-Sq-ft-Commercial-Land-FOR-Sale-Hosur-Road-in-Bangalore&id=4d423831323433303639"," Commercial Land for Resale in AVS Ozone Valley at Hosur Road","2025-09-05T15:06:40.000Z",,"2040000","1700","₹","1200 Sq-ft Commercial Land is available for Sale in Hosur Road, Bangalore for 20.40 Lac(s)",,,"19201|Infosys Limited","19203|Vimalalaya Hospital",,,,,,,,,"12.86269451,77.65907861","Deepa",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/05/Photo_h180_w240/81243069_1_PropertyImage553-2372503630917_180_240.jpg"
"80859095","8000-Sq-ft-Commercial-Land-FOR-Sale-HBR-Layout-in-Bangalore&id=4d423830383539303935"," Commercial Land for Resale in Hbr Layout","2025-08-09T10:05:18.000Z",,"480000000","60000","₹","A commercial plot is a piece of land designated and zoned for business or incomegenerating activities, such as retail, office, or industrial spaces. These plots are distinct from residential or agricultural land and are subject",,,"19201|Infatry Tech Park","19201|D Mart","19202|Royal Public School","19202|Hmr International School","19203|Centre For Diabetes And Endocrino Care","19203|Altius Multi-speciality Hospital, HBR Layout","19210|Saraipalya Bus Stop","19210|Arabic College Metro Station",,"HSR Layout","13.04166407,77.63261682","Santosh","S2 Milkyway Links",,"12850",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,
"81155589","435600-Sq-ft-Commercial-Land-FOR-Sale-Doddaballapura-Main-Road-in-Bangalore&id=4d423831313535353839"," Commercial Land for Resale in Doddaballapura Main Road","2025-09-09T06:09:55.000Z",,"1000000000","2296","₹","435600 Sq-ft Commercial Land is available for Sale in Doddaballapura Main Road, Bangalore for 100.0 Crore(s)",,,,,,,,,,,,"Doddaballapura DC office","13.19936632,77.56174381","RJR SRINIDHI REALTIES",,,"12850",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Aug/31/Photo_h180_w240/81155589_1_PropertyImage843-8160616564974_180_240.jpg"
"77126921","11000-Sq-ft-Commercial-Land-FOR-Sale-Race-Course-Road-in-Bangalore&id=4d423737313236393231"," Commercial Land for Resale in Race Course Road","2025-07-13T23:45:29.000Z",,"600000000","54545","₹","Located in a peaceful, secluded area with a 95foot frontage, offering easy accessibility and proximity to the CBD.",,,,,,,,,,,,"Surrounded by hotels, corporate offices, hospitals, and more.","12.9841156,77.5818602","Sevenraj","Sevenrajs Estate Agency",,"12850",,,"North",,"Bangalore",,"Bangalore, Karnataka",,,,,
"80800927","6000-Sq-ft-Commercial-Land-FOR-Sale-Koramangala-Block-5-in-Bangalore&id=4d423830383030393237"," Commercial Land for Resale in Block 5th Koramangala","2025-09-09T23:45:27.000Z",,"180000000","30000","₹","Commercial property for sale at prime location 5th block koramangala, measuring 6000 sq feet in total. East facing property 220 feet open to road. 100 feet road near BDA Complex.Roads approaching towards Sonya world signal. Fastest growing Commercial hub. Landmark BDA COMPLEX. KALYAN JEWELLERS",,,"19202|Neena English High School","19203|Acura Speciality Hospital",,,,,,,,"Koramangala BDA complex","12.9356077,77.6193533","Sandstone Properties",,,"12850",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,
"70008251","6668-Sq-ft-Commercial-Land-FOR-Sale-Jigani-in-Bangalore&id=4d423730303038323531"," Commercial Land for Resale in Orange Square at Jigani","2025-09-06T17:35:02.000Z",,"25000000","3749","₹","Explore an exceptional opportunity with this Commercial Land For Sale situated in the vibrant Orange Square, Jigani, Bangalore. Conveniently located near the Jigani OT Circle, it boasts easy accessibility via the Swamy Vivekananda Ashram Road.Property SpecificationsNestled within a sprawling land area of 6668 sqft, this property stands out with its meticulously constructed boundary walls, offering security and exclusivity. The plot allows the construction of a ground floor along with three additional floors, making it a versatile space for various purposes. Notably, it holds the distinction of being a corner property, maximizing visibility and architectural possibilities. With two open sides and adjacency to an 80-feet double road, the property ensures prominence and accessibility. Nearby, the prestigious Aadya Academy stands as a testament to the burgeoning community, complemented by a plethora of houses in close proximity. Furthermore, the layout holds the esteemed approvals of both BMRDA and RERA, underscoring its credibility and adherence to regulatory standards.Facilities Water, electricity, drainage, and seepage facilities are readily available, ensuring that the land is not only primed for immediate industrial use but also offers a seamless experience for any potential development.LocalityEmbrace the strategic location of this property, merely 400 meters away from the Swami Vivekananda Yoga University. Public transport is easily accessible, facilitating effortless connectivity. The Jigani railway station lies a mere 3 kilometers away, while the Bommasandra metro station is conveniently located within a 5-kilometer radius. This adds an extra layer of accessibility, ensuring that the property is seamlessly connected to major transportation hubs, further enhancing its allure for a diverse range of endeavors.",,,"19201|Hni Autotech Pvt Ltd","19201|New Collection Jigani","19202|Global Indian International School (Giis)","19202|SVYASA Deemed to be University","19203|Medax Vijayashree Hospital","19203|YK Hospital","19210|Navya Badavane Bus Stop",,,"jigani otc circle   Swamy Vivekananda ashrama road","12.77952541,77.64327886","Santhosh kumar M",,,"12850",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Nov/13/Photo_h180_w240/70008251_1_PropertyImage981-5037278874436_180_240.jpg"
