"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"74832103","2480-Sq-ft-Industrial-Building-FOR-Sale-Pattanagere-in-Bangalore&id=4d423734383332313033"," Industrial Building for Resale in Pattanagere, Rajarajeshwari Nagar","2025-09-05T17:35:02.000Z","Service/Goods Lift,Visitor Parking","62000000","25000","₹","  Industrial Building is available for Sale in Pattanagere, Bangalore for 6.2 Crore(s)","Positioned it well at Pattanagere this Industrial building at ₹6.20 Cr has 2480 square feet is up for sale. The industrial building offers service/goods lift,visitor parking that caters your needs. The construction age of this industrial building is 5 to 10 years. opp global tech park , near rv college rr nagar metro is the nearest and prime landmark to this industrial building. The industrial building is the easily reachable address of Pattanagere, Bangalore - South, Karnataka.",,"19202|Global Academy for Learning","19202|Karnataka Sanskriti Vidyapeeta","19210|BHEL Layout Water Tank Bus stop",,,,,,"Opp Global Tech park , Near RV college RR Nagar Metro","12.91820225,77.51163338","Mounika",,,,,,,,"Bangalore",,"Bangalore, Karnataka","2480",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Sep/12/Photo_h180_w240/74832103_4_0046c70a4d0427c8a38b7c296662b83_180_240.jpeg"
"76078841","141829-Sq-ft-Industrial-Building-FOR-Sale-in-Bangalore&id=4d423736303738383431"," Industrial Building for Resale in ","2025-09-07T23:31:23.000Z","Service/Goods Lift,Visitor Parking","650000000","4583","₹","Step into an exceptional investment opportunity with this Industrial Building for Sale in the highly sought-after Peenya Industrial Area Phase 2, Bangalore. Property SpecificationsOccupying a sprawling plot area of 43,390 sq ft, this well-structured property features a basement, ground, and four additional floors, making it ideal for diverse industrial operations. With an open hall layout, complemented by cabins and office rooms, this building is perfectly suited to accommodate your business needs while ensuring ample space for operations and staff. This impressive industrial facility includes 15 washrooms, optimizing convenience for employees and visitors alike. The building is designed with ESD flooring, providing a safe environment for sensitive equipment and operations. Its main road facing location ensures excellent visibility and accessibility, while the corner property design allows for natural light and ventilation throughout the space. With two sides open, it enhances the overall ambiance, making it a desirable choice for business activities.FacilitiesThis industrial building boasts a range of modern facilities, including both covered and open parking to accommodate your fleet and visitors. Enjoy the benefits of 24-hour water supply and 100% power backup, ensuring uninterrupted operations. Security is a top priority, with a dedicated security guard on-site and CCTV surveillance installed throughout the premises. Additionally, the building is equipped with one lift, facilitating easy movement between floors.LocalityStrategically located near prominent landmarks such as ISRO and ABB companies, this industrial property is surrounded by essential amenities. Within 1 km, you will find hospitals and malls/supermarkets, catering to both personal and professional needs. Public transport is conveniently available, with buses and autos easily accessible, ensuring smooth connectivity throughout the city. Moreover, banks and ATMs are located nearby, and the metro station is just 1.5 km away, further enhancing the location's appeal.Seize this opportunity to acquire a prime industrial building in one of Bangalore’s most dynamic industrial hubs. Invest in a property that promises not only functionality but also strategic advantages in a thriving economic environment!","Located in Peenya Industrial Area Phase 2, this industrial building is up for sale and spans across a super-built area of 141829 square feet. It is fairly priced at ₹65 Cr. You can book it in advance with a booking amount of just Rs 1. Essential facilities such as service/goods lift,visitor parking are available with this industrial building. 10 to 15 years is the construction age of this industrial building. The industrial building is situated in proximity to near isro, abb companies. This is the specific address is Bangalore, Karnataka of this industrial building on sale.",,,,,,,,,,"Near ISRO, ABB companies",,"joseph benoy",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Dec/17/Photo_h180_w240/76078841_9_MG20241120172341_180_240.jpg"
"69750327","1540-Ground-Industrial-Building-FOR-Sale-BTM-Layout-Stage-1-in-Bangalore&id=4d423639373530333237"," Industrial Building for Resale in Stage 1 BTM Layout","2025-08-27T17:35:01.000Z",,"15000000","0","₹","  Industrial Building is available for Sale in Stage 1 BTM Layout, Bangalore for 1.5 Crore(s)","Priced at a reasonable price of ₹1.50 Cr, this Industrial building is available for sale in BTM Layout Stage 1 and has a super built up area of 1540 square feet. Buy this industrial building by paying a minimum booking amount of just Rs 50000. This industrial building with 5 to 10 years is available on sale. The industrial building is the easily reachable address of BTM Layout Stage 1, Bangalore - Central, Karnataka.",,"19201|JKN Arcade","19201|Swaraj Fresh Market","19202|Sri Maruthi Primary and High School","19202|Koala Preschool","19203|Ksk Clinic","19203|Sarah Clinic","19210|Madiwala Police Station Bus Stop",,,"12.9215979,77.61372327","Md Saquib",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1540",,"12811",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Nov/20/Photo_h180_w240/299_IMG20231026WA0015_180_240.jpg"
"68812439","3500-Sq-ft-Industrial-Building-FOR-Sale-in-Bangalore&id=4d423638383132343339"," Industrial Building for Resale in ","2025-08-29T17:35:02.000Z",,"27500000","7857","₹","Industrial Building is available for sale. It has covered area of 3500 sq-ft, it is a good location property. Please contact for more details.","Located in Hanumanthappa Industrial area, this industrial building is up for sale and spans across a super-built area of 3500 square feet. It is fairly priced at ₹2.75 Cr. One can own this industrial building for just Rs 5000000. The built up age of this industrial building is Above 20 years. The address for this industrial building that is up for sale is Bangalore, Karnataka.",,,,,,,,,,,,"tejaswini",,,,,,,,"Bangalore",,"Bangalore, Karnataka","3500",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Sep/02/Photo_h180_w240/68812439_9_pic-7_180_240.jpeg"
"67780161","10608-Sq-ft-Industrial-Building-FOR-Sale-Laxmipura-in-Bangalore&id=4d423637373830313631"," Industrial Building for Resale in Laxmipura","2025-08-31T17:35:02.000Z",,"42500000","4006","₹","Clean Industrial or Commerical office building close to Bangalore city center. In addition to industrial space, the building also has ready to move commercial office space on mezzanine floor as well","Positioned it well at Laxmipura this Industrial building at ₹4.25 Cr has 10608 square feet is up for sale. The industrial building has an average 15 to 20 years. The industrial building is situated in proximity to close to the heart of bangalore city center. The address for this industrial building that is up for sale is Laxmipura, Bangalore - South, Karnataka.",,"19202|SVKM NMIMS Bangalore",,,,,,,,"Close to the heart of Bangalore city center","12.81814801,77.59348347","Atul Desai",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Jun/30/Photo_h180_w240/67780161_1_MG20230629WA0008_180_240.jpg"
"72522939","1200-Sq-ft-Industrial-Building-FOR-Sale-Electronic-City-Phase-2-in-Bangalore&id=4d423732353232393339"," Industrial Building for Resale in Phase 2 Electronic City","2025-08-27T17:35:01.000Z","Internet/Wi-Fi Connectivity","35000000","29167","₹","  Industrial Building is available for Sale in Phase 2 Electronic City, Bangalore for 3.5 Crore(s)","Located in Electronic City Phase 2, this industrial building is up for sale and spans across a super-built area of 1200 square feet. It is fairly priced at ₹3.50 Cr. Catering to your needs this industrial building comes with all basic internet/wi-fi connectivity. The industrial building has an average Less than 5 years. The industrial building is the easily reachable address of Electronic City Phase 2, Bangalore - South, Karnataka.",,"19201|Bommasandra Industrail Area","19210|Huskur Gate",,,,,,,,"12.84681621,77.68222508","Vyshnavi",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1200",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Apr/26/Photo_h180_w240/72522939_4_PropertyImage650-6784608779919_180_240.jpg"
"72713889","18000-Sq-ft-Industrial-Building-FOR-Sale-Kamakshipalya-in-Bangalore&id=4d423732373133383839"," Industrial Building for Resale in Kamakshipalya, Outer Ring Road","2025-08-29T17:35:02.000Z","Service/Goods Lift","72000000","4000","₹","Introducing an exceptional opportunity: a brand new Industrial Building For Sale in the thriving locale of Kamakshipalya, Bangalore. Boasting a generous super area of 18000 sqft, this meticulously constructed property promises a lucrative investment opportunity in the heart of the city.Property SpecificationsWith each floor offering a substantial carpet area of 4500 sqft, spread across a G plus 3 structure, this unfurnished property presents an ideal canvas for realizing a multitude of commercial endeavours. Upon entry, you're greeted by a sprawling hall, accompanied by an office room and two staff rooms, providing ample space for administrative tasks and operational activities. The inclusion of a dry pantry area and four washrooms on each floor ensures convenience and efficiency for occupants.The utilitarian design extends to the flooring, featuring durable concrete flooring that withstands the rigours of industrial usage. Positioned with a main road-facing orientation and vaastu compliance, this building is not only strategically located but also aligns with principles of harmony and prosperity.The office space is bathed in natural light and offers excellent ventilation, fostering a conducive environment for productivity and employee well-being. Whether utilized for warehousing, godowns, industrial operations, or other commercial purposes, this property offers versatility to suit various business needs.Facilities Residents benefit from essential facilities including covered parking for one vehicle and open parking for three, ensuring ample space for staff and visitors alike. Uninterrupted operations are assured with 24-hour water supply, 100% power backup, vigilant security personnel, and CCTV surveillance. A private lift adds convenience for vertical transportation, while reserved parking, vaastu compliance, and a service/goods lift further enhance the functionality of the space.Locality Situated near the prominent landmark of Teju Masala Factory, the locality offers easy access to essential amenities. Hospitals within a 1 km radius, with proximity to the Outer Ring Road (ORR), ensure immediate medical assistance. Malls, supermarkets, banks, ATMs, and public transportation options are readily available, contributing to the overall convenience and accessibility of the area. Additionally, the railway station stands a mere 2 km away, facilitating hassle-free connectivity to broader transportation networks.","Best located in the Kamakshipalya this Industrial building having a super built up area of 18000 square feet is available at priced at a fair ₹7.20 Cr. Catering to your needs this industrial building comes with all basic service/goods lift. near teju masala factory is the nearest and prime landmark to this industrial building. The industrial building is the easily reachable address of Kamakshipalya, Bangalore - Central, Karnataka.",,"19201|Petechannappa Industrial Area","19202|Maruthi Vidya Mandir","19203|Benaka Hospital","19203|St Meera High School",,,,,"Near Teju Masala Factory","12.9871685,77.524754","Vivek Jain",,,,,,"East",,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/May/09/Photo_h180_w240/72713889_2_PropertyImage332-31592493207387_180_240.jpg"
"66806053","6200-Sq-ft-Industrial-Building-FOR-Sale-Nayandahalli-in-Bangalore&id=4d423636383036303533"," Industrial Building for Resale in Nayanda Halli","2025-08-29T17:35:02.000Z",,"41000000","6613","₹","Industrial building is available for sale. It is a good location property. Please contact for more details.","Priced at a reasonable price of ₹4.10 Cr, this Industrial building is available for sale in Nayandahalli and has a super built up area of 6200 square feet. The industrial building has an average 15 to 20 years. This is the specific address is Nayandahalli, Bangalore - West, Karnataka of this industrial building on sale.",,"19201|Divinity Mall","19201|Global Mall","19202|Nayanda Halli Government School","19202|Vishwa Bharti English School","19203|Vet Hospital","19210|Nayandahalli Metro Station","19210|Mysuru Road Metro Station",,,"12.94271985,77.52538161","Zoher",,,,,,,,"Bangalore",,"Bangalore, Karnataka","6200",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/May/27/Photo_h180_w240/7927_79CF69903B1F49D1B83551FECF46296B_180_240.jpeg"
"23324459","900-Sq-ft-Industrial-Building-FOR-Sale-in-Bangalore&id=4d423233333234343539"," Industrial Building for Resale in ","2025-09-05T17:35:02.000Z",,"18000000","20000","₹","Property has 30 HP 3 phase power with Easr facing Ideal for installing machinaries Paid taxes up to date and clear title","Positioned it well at Rajajinagar 6th block this Industrial building at ₹1.80 Cr has 900 square feet is up for sale. The landmark next to gubbana industrial estate is situated near this industrial building  Up for sale, the industrial building is in Bangalore, Karnataka.",,,,,,,,,,"Next to Gubbana industrial estate",,"RAJAN",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka","900",,"12800",,
"66922869","72200-Sq-ft-Industrial-Building-FOR-Sale-Peenya-Industrial-Area-in-Bangalore&id=4d423636393232383639"," Industrial Building for Resale in Peenya","2025-09-08T17:35:02.000Z","Visitor Parking","610000000","8449","₹","72200 Sq-ft Industrial Building is available for Sale in Peenya, Bangalore for 61.0 Crore(s)","This Industrial building is availFable for sale in Peenya Industrial Area is spread across a super built up area of 72200 square feet, and is priced at a reasonable rate of ₹61 Cr. The industrial building offers visitor parking that caters your needs. The industrial building has an average Above 20 years. Up for sale, the industrial building is in Peenya Industrial Area, Bangalore - West, Karnataka.",,"19201|Mayur mall","19201|A One Super Market","19202|Sanford Public School","19202|MS Ramaiah University of Applied Sciences","19203|Columbia Asia Referral Hospital ? Yeshwanthpur","19203|Raghavendra People Tree Hospital","19210|Peenya Metro Station","19210|Majestic City Railway Station And Bus Station",,"13.0270205,77.5116465","Rao",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,
