"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"60527357","9000-Sq-ft-Industrial-Shed-FOR-Sale-Rajaji-Nagar-Industrial-Town-in-Bangalore&id=4d423630353237333537"," Industrial Shed for Resale in Rajajinagar Industrial Town, Rajajinagar","2025-09-07T17:35:01.000Z",,"300000000","33333","₹","Industrial shed is available for sale.","This factory land is for sale in Rajaji Nagar Industrial Town, is situated across a an area of 9000 square feet, and is listed at a competitive price of ₹30 Cr. This commercial building is available to visit at the following address Rajaji Nagar Industrial Town, Bangalore - Central, Karnataka.",,"19201|SSI Industrial Area","19202|Government Tool Room Training Center",,,,,,,,"12.97871809,77.54994314","Manoj",,,,,,,,"Bangalore",,"Bangalore, Karnataka","9000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2022/Apr/13/Photo_h180_w240/60527357_2_IMG_20220412_174733_180_240.jpg"
"80119937","10000-Sq-ft-Industrial-Shed-FOR-Sale-Peenya-2nd-Stage-in-Bangalore&id=4d423830313139393337"," Industrial Shed for Resale in Stage 2nd Peenya","2025-09-07T23:32:15.000Z",,"105000000","10500","₹","Industrial Shed Available for Sale. Ready for Production Condition. 200 KVa Transformer and 125 KVa Connected Load Installed.","The industrial shed is spread over a plot area of 10000.0 square feet. peenya 3rd stage. corner property with access from 2 sides. is the nearest and prime landmark to this industrial shed. This commercial building is available to visit at the following address Peenya 2nd Stage, Bangalore - West, Karnataka.",,,,,,,,,,"Peenya 3rd Stage. Corner Property with access from 2 sides.","13.01507,77.48806","Shreyance Shah",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jun/25/Photo_h180_w240/80119937_3_HOTO202504171347515_180_240.jpg"
"80177283","113099-Sq-ft-Industrial-Shed-FOR-Sale-Bommasandra-Jigani-Link-Road-in-Bangalore&id=4d423830313737323833"," Industrial Shed for Resale in Bommasandra Jigani Link Road","2025-07-30T06:54:41.000Z",,"700000000","6189","₹","KIADB APPROVED PROPERTY GOOD FOR ALL THE INDUSTRIES","This industrial shed is for sale in Bommasandra Jigani Link Road and is situated across a highly developed area of 113099 square feet. The asking price is ₹70 Cr. The industrial shed is located on an area of 150000.0 square feet.  The industrial shed is close the landmark good access to jigani and bommasandra. The following address Bommasandra Jigani Link Road, Bangalore - South, Karnataka, is where you may view the industrial shed that is for sale.",,,,,,,,,,"GOOD ACCESS TO JIGANI AND BOMMASANDRA","12.8062366,77.6633302","NT Realtors","NT Realtors",,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,
"72555321","5500-Sq-ft-Industrial-Shed-FOR-Sale-Peenya-Industrial-Area-Phase-3-in-Bangalore&id=4d423732353535333231"," Industrial Shed for Resale in Phase 3 Peenya","2025-08-30T17:35:01.000Z",,"65000000","11818","₹","Industrial Shed is available for sale. It has a Covered area of 5500 sq-ft, it is a good location property. Please contact for more details.","This industrial shed is for sale in Peenya Industrial Area Phase 3 and is situated across a highly developed area of 5500 square feet. The asking price is ₹6.50 Cr. The following address Peenya Industrial Area Phase 3, Bangalore - West, Karnataka, is where you may view the industrial shed that is for sale.",,"19203|Sanjeevani Nursing Home","19210|Majestic City Railway Station And Bus Station",,,,,,,,"13.02250622,77.51721982","Abu",,,,,,,,"Bangalore",,"Bangalore, Karnataka","5500",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Apr/29/Photo_h180_w240/72555321_1_MG2514_180_240.jpeg"
"79570625","11000-Sq-ft-Industrial-Shed-FOR-Sale-in-Bangalore&id=4d423739353730363235"," Industrial Shed for Resale in ","2025-08-28T00:13:28.000Z",,"45000000","4091","₹","East Facing 3 Side Road Access Inudstrial Shed for immediate sale. Owners have used for 10 years for their own manufacturing and now moved to a big factory, hence selling. 11,000 Sq feet very close to Factory Gate, so no need to provide Transport for employees. Hosakote is fastest developing and in 3 years price will be 6000 per sq feet. Easy access to Chennai Bangalore Expressway","Priced at a reasonable price of ₹4.50 Cr, this Industrial shed is available for sale in Hosakote and has a super built up area of 11000 square feet. very close to factory gate. very close to chennai bangalore expressway is the nearest and prime landmark to this industrial shed. You can view this industrial shed on sale at the following address: Bangalore, Karnataka.",,,,,,,,,,"Very Close to Factory Gate. Very Close to Chennai Bangalore Expressway",,"Chandan Kumar",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/21/Photo_h180_w240/79570625_1_MG5867copy_180_240.jpg"
"80588549","5700-Sq-ft-Industrial-Shed-FOR-Sale-Peenya-Industrial-Area-Phase-4-in-Bangalore&id=4d423830353838353439"," Industrial Shed for Resale in Phase 4 Peenya","2025-08-15T14:52:11.000Z",,"39900000","7000","₹","Excellent Industrial shed for sale at Peenya Industrial Estate. Clear titles. Available power, water. ideal for light industrial activities. Please call for further details.","This industrial shed is for sale in Peenya Industrial Area Phase 4 and is situated across a highly developed area of 5700 square feet. The asking price is ₹3.99 Cr. The industrial shed is close the landmark the property is not far from the tumkur bangalore highway. For further details on this factory land for sale, the address is Peenya Industrial Area Phase 4, Bangalore - West, Karnataka.",,"19202|MS Ramaiah University of Applied Sciences","19202|MS Ramaiah University of Applied Sciences Peenya Campus","19203|Shri Venkteshwara Hospital",,,,,,"The property is not far from the Tumkur Bangalore highway","13.01602,77.5063835","Ram Rajpal","Prime Properties",,,,,,,"Bangalore",,"Bangalore, Karnataka","5700",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/22/Photo_h180_w240/80588549_1_creenshot20250722141552_180_240.jpg"
"67699837","1800-Sq-ft-Industrial-Shed-FOR-Sale-in-Bangalore&id=4d423637363939383337"," Industrial Shed for Resale in ","2025-08-27T17:35:01.000Z",,"27000000","15000","₹","  Industrial Shed is available for Sale in , Bangalore for 2.7 Crore(s)","Priced at a reasonable price of ₹2.70 Cr, this Industrial shed is available for sale in Near my school - CKC garden and has a super built up area of 1800 square feet. For further details on this factory land for sale, the address is Bangalore, Karnataka.",,,,,,,,,,,,"Krupa",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1800",,"12800",,
"81042645","55000-Sq-ft-Industrial-Shed-FOR-Sale-Peenya-Industrial-Area-Phase-3-in-Bangalore&id=4d423831303432363435"," Industrial Shed for Resale in Phase 3 Peenya","2025-08-22T10:37:32.000Z","Service/Goods Lift,Visitor Parking,Intercom Facility","270000000","4909","₹","1 Prime location  near markets, schools, hospitals 2 Wide roads and peaceful neighborhood 3 Modern kitchen and stylish interiors 4 Ideal for living or investment 5 High rental income potential","Priced at a reasonable price of ₹27 Cr, this Industrial shed is available for sale in Peenya Industrial Area Phase 3 and has a super built up area of 55000 square feet. Constructed on the plot area of 21500.0 square feet, this shed is well-sized. The industrial shed comes with amenities like service/goods lift,visitor parking,intercom facility that are necessary. The landmark near kanteerava studio is situated near this industrial shed. The following address Peenya Industrial Area Phase 3, Bangalore - West, Karnataka, is where you may view the industrial shed that is for sale.",,"19203|Sanjeevani Nursing Home","19210|Majestic City Railway Station And Bus Station",,,,,,,"Near Kanteerava Studio","13.02250622,77.51721982","Venkatraju","SLV Properties ",,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,
"49160905","1200-Sq-ft-Industrial-Shed-FOR-Sale-Jigani-Industrial-Area-in-Bangalore&id=4d423439313630393035"," Industrial Shed for Resale in Jigani Industrial Area","2025-08-28T17:35:01.000Z",,"120000000","100000","₹","  Industrial Shed is available for Sale in Jigani Industrial Area, Bangalore for 12.0 Crore(s)","This factory land is for sale in Jigani Industrial Area, is situated across a an area of 1200 square feet, and is listed at a competitive price of ₹12 Cr. For further details on this factory land for sale, the address is Jigani Industrial Area, Bangalore - South, Karnataka.",,"19201|Infion Advanced Laser Systems Pvt. Ltd","19201|Indo-Mim Pvt. Ltd.","19203|YK Hospital",,,,,,,"12.80522379,77.6281917","Suresh",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1200",,"12800",,
"49525524","50000-Sq-ft-Industrial-Shed-FOR-Sale-HAL-Old-Airport-Road-in-Bangalore&id=4d423439353235353234"," Industrial Shed for Resale in BCIL T Zed at HAL Old Airport Road","2025-09-01T05:34:41.000Z",,"1000000000","20000","₹","  Industrial Shed is available for Sale in HAL Old Airport Road, Bangalore for 100.0 Crore(s)","Up for sale in HAL Old Airport Road, this industrial shed occupies a super built up area of 50000 square feet and is available at ₹100 Cr price. For further details on this factory land for sale, the address is Bcil T Zed, HAL Old Airport Road, Bangalore - East, Karnataka.",,"19202|Bharati Vidyalaya Day Care",,,,,,,,,"12.95713316,77.67437979","NIKUNJ RATHOD",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,
