"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"81312827","20500-Sq-ft-Commercial-Office-Space-FOR-Sale-whitefield-in-Bangalore&id=4d423831333132383237"," Commercial Office Space for Resale in Whitefield","2025-09-10T11:19:55.000Z","Air Conditioned,Internet/Wi-Fi Connectivity,RO Water System,Service/Goods Lift,Visitor Parking,Wheelchair Accessibility,Conference Room,Fire Sprinklers","246000000","12000","₹","Premium commercial office space with toptier amenities, located in a prime tech park addressperfect for modern businesses.","Business cum office space is available for sale on a good deal in whitefield with different 20500 square feet options and at a competitive ?24.60 Cr. With the right fit, the positioning of the 1 floors of the building suits your business needs. Making it comfortable for each office space unit holder, it offers 2 washrooms. An extra benefit is a Wet Pantry/Cafeteria area that comes as an addition to the offerings. This office space has 13 covered parking spaces for you to comfortably place your vehicles.",,"19201|Fitness Furniture","19201|Green City - Super Market","19202|Holy Cross School","19202|Chrysalis High","19203|Vydehi Hospital Multi Speciality","19203|Sri Sathya Sai Super Speciality Hospital","19210|Hope Farm Circle Bus Stop","19210|Kadugodi Bus Stop","Kundanahalli Metro station","12.9680475,77.739097","Fidelitus Corp",,"16400",,,"2","North - East","4","Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/10/Photo_h180_w240/81312827_2_hatsAppImage20250910at4.47.09PM_180_240.jpeg"
"79581819","4500-Sq-ft-Commercial-Office-Space-FOR-Sale-Mahatma-Gandhi-Road-in-Bangalore&id=4d423739353831383139"," Commercial Office Space for Resale in Mahatma Gandhi Road","2025-09-08T23:45:30.000Z","Internet/Wi-Fi Connectivity,RO Water System,Service/Goods Lift,Visitor Parking,Intercom Facility,Wheelchair Accessibility,Fire Sprinklers","90000000","20000","₹","Commercial Office Space for sale at MG Road Bangalore Central Multistoried Commercial Complex 4315 Sq.ft Un Furnished with 6 Reserved Car parking in basement with Lift, 100 percent Back up Generator, CCTV Cameras, Price 9 Crs plus Car park Excluding Registration  We also have office spaces of different sizes furnished unfurnished plug and Play at different locations to suit your requirements across Bangalore call us for complete commercial real estate solutions in Bangalore.  Regal Property Serviceswww.regalpropertyservices.in","At a competitive ₹9 Cr, this office space is on sale with a decent 4500 square feet in the Mahatma Gandhi Road. By paying the Rs 5000000 you can easily block your office space. With the right fit, the positioning of the 10 floors of the building suits your business needs. The office space offers about 3 washrooms. Additionally, the office space also offers a Wet Pantry/Cafeteria area. For the convenience of the users, this office space comes with ample 6 covered parking spaces.",,"19201|Prestige  Meridian","19202|Moulana Azad Model School","19202|St Joseph s College of Business Administration","19203|Geriatric Care","19210|Trinity Metro Station, Bangalore","19210|MG Road Metro Station, Bangalore",,,"Close to Mg Road Metro statin Bangalore Central","12.97467669,77.61000455","Regal Property Services","Regal Property Services","4315","12850",,"3","East","10","Bangalore",,"Bangalore, Karnataka","4500",,"12800","1999","https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/28/Photo_h180_w240/79581819_4_000147494_180_240.jpg"
"81083921","9000-Sq-ft-Commercial-Office-Space-FOR-Sale-HAL-Old-Airport-Road-in-Bangalore&id=4d423831303833393231"," Commercial Office Space for Resale in HAL Old Airport Road","2025-08-25T13:53:43.000Z","Service/Goods Lift,Visitor Parking,Conference Room","112500000","12500","₹","Its a commercial bareshell office space available in old aiport road. The unit is available in 3rd and 4th floor and has a lift with security. This office is well suitable for companies.","A well known office space is located in the prime area of HAL Old Airport Road and spread across a 9000 square feet and at a right ₹11.25 Cr fit. One can book this space by paying a minimum Rs 1000000. The office is located on a premium floor 4 of the structure. Making it comfortable for each office space unit holder, it offers 6 washrooms. An extra benefit is a Assured Returns of 5% per annum area that comes as an addition to the offerings. This office space has 4 covered parking spaces for you to comfortably place your vehicles.",,"19202|Bharati Vidyalaya Day Care",,,,,,,,,"12.95713316,77.67437979","Infimax Advisors ","Infimax Advisors Pvt. Ltd","7200","12850",,"6","West","4","Bangalore",,"Bangalore, Karnataka","9000",,"12800","2009","https://img.staticmb.com/mbphoto/property/cropped_images/2025/Aug/25/Photo_h180_w240/81083921_3_d7bbedfc36240d5b013d3a1850282cf.v1_180_240.jpg"
"80633525","4400-Sq-ft-Commercial-Office-Space-FOR-Sale-Domlur-in-Bangalore&id=4d423830363333353235"," Commercial Office Space for Resale in Vaswani Augusta at Domlur, Domlur","2025-07-25T05:20:00.000Z",,"110000000","25000","₹","Tenanted Commercial Office space in the Heart of the City of Bangalore with rental returns4400sft fetching 5.79 lakhs rent per month","Business cum office space is available for sale on a good deal in Domlur with different 4400 square feet options and at a competitive ₹11 Cr. This office space is located in a well known commercial complex named Vaswani Augusta. One can book this space by paying a minimum Rs 1000000. The office is located on floor 1 of the structure. The office space offers about 4 washrooms. For your ease, a Assured Returns of 10% per annum area in this office space offering value benefits. With multiple parking options, you can easily park your vehicle nearby as there are 3 covered parking slots.",,"19202|Sheila Kothavala Institute for the Deaf","19202|Mainpal University","19203|Apollo 27 Hospital","19203|Xeviar Dental Clinic","19210|Dr BR Ambedkar Bus Terminal Domlur Bus Stop",,,,"near EGL Domlur","12.96100799,77.63889862","Thyagaraj","Sand Rock","4100","12850",,"4","North","8","Bangalore",,"Bangalore, Karnataka","4400",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/25/Photo_h180_w240/80633525_3_a1_180_240.jpeg"
"80638883","3215-Sq-ft-Commercial-Office-Space-FOR-Sale-Marathahalli-in-Bangalore&id=4d423830363338383833"," Commercial Office Space for New Property in Marathahalli","2025-09-07T23:45:30.000Z","Air Conditioned,Internet/Wi-Fi Connectivity,RO Water System,Service/Goods Lift,Visitor Parking,Intercom Facility,Wheelchair Accessibility,Conference Room,Fire Sprinklers","51400000","15988","₹","Project Overview Premium Grade A commercial property located in Marathahalli, Bangalore, offering fully managed preleased office spaces designed for steady rental income and longterm growth. Ideal for investors looking for lowrisk commercial real estate with guaranteed returns. Property Type Preleased commercial office spaces under a fully managed investment model. Key Investment Highlights Assured rental income with 9.75 percent annual ROI and 15 percent rental escalation every 3 years. Preleased to reputed corporate clients, ensuring stability Zero maintenance cost","A well known office space is located in the prime area of Marathahalli and spread across a 3215 square feet and at a right ₹5.14 Cr fit. To initiate the purchase of the office space you need to only pay a booking fee of Rs 1000000. With the right fit, the positioning of the 5 floors of the building suits your business needs. Conveniently crafted and positioned there are about 4 washrooms in this office space. As a part of additional amenities, there is a Assured Returns of 9.5% per annum area in this office as well. With about 4 covered parking slots, this office space offers ease for its users to park their vehicles.",,"19201|Intel Technology India Pvt Ltd","19201|MiAMi Super Market","19202|NPS School","19202|Hal Gnanajyoti School","19203|Jeevika Hospital","19203|MGA Hospital","19210|Bellandur Road Railway Station","19210|Marathahalli Bridge","Just 200 meters from upcoming Marathahalli Metro Station ORR Metro","12.9579717,77.6914752","Aryan Realtor","Aryan Realtor",,,,"4","East","5","Bangalore",,"Bangalore, Karnataka","3215",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/25/Photo_h180_w240/80638883_2_2_180_240.jpg"
"81202833","600-Sq-ft-Commercial-Office-Space-FOR-Sale-Vijayanagar-Stage-1-in-Bangalore&id=4d423831323032383333"," Commercial Office Space for Resale in Stage 1 Vijayanagar","2025-09-03T11:31:32.000Z",,"6000000","10000","₹","  Commercial Office Space is available for Sale in Stage 1 Vijayanagar, Bangalore for 60.0 Lac(s)","This office space is for sale in Vijayanagar Stage 1, is positioned across a sizable portion of 600 square feet, and is listed at a competitive price of ₹60 Lac. Conveniently crafted and positioned there are about 1 washrooms in this office space.",,"19202|New Cambridge High School","19203|Manasa Hospital",,,,,,,,"12.97198911,77.54263139","Rachanamadhyastha ",,"600",,,"1","South","2","Bangalore",,"Bangalore, Karnataka","600",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/03/Photo_h180_w240/81202833_7_1756899111515-4078_180_240.jpg"
"80027719","16000-Sq-ft-Commercial-Office-Space-FOR-Sale-Hebbal-in-Bangalore&id=4d423830303237373139"," Commercial Office Space for Resale in Umiya Velociti at Hebbal","2025-08-24T23:35:09.000Z","Air Conditioned,Internet/Wi-Fi Connectivity,RO Water System,Service/Goods Lift,Visitor Parking,Intercom Facility,Wheelchair Accessibility,Conference Room,Fire Sprinklers","176000000","11000","₹","Excellent property for investment with the great connectivity.","A well known office space is located in the prime area of Hebbal and spread across a 16000 square feet and at a right ₹17.60 Cr fit. This office is strategically located in the prominent commercial complex of Umiya Velociti. One can book this space by paying a minimum Rs 2500000. The office is located on floor 1 of the structure. Ample of > 10 washrooms are available in this office space. In addition, there is a Assured Returns of 5% per annum area in this office which is an added benefit. To comfortably park your vehicles ample 10 covered parking spaces are available here.",,"19201|Brigade Opus","19202|Kidzee","19202|Ses High School","19203|Medax Hospitals","19203|Bangalore Baptist Hospital","19210|Bhuvaneshwari Bus Stop","19210|Kanaka Nagar Bus Stop",,,"13.0349961,77.5981732","Santosh","S2 Milkyway Links","15500","12850",,,"North - East","6","Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2021/12/31/Project-Photo-1-Umiya-Velociti-Bangalore-5130519_1125_2000_310_462.jpg"
"78981169","8874-Sq-ft-Commercial-Office-Space-FOR-Sale-Richmond-Town-in-Bangalore&id=4d423738393831313639"," Commercial Office Space for Resale in Richmond Town, Richmond Town","2025-07-12T23:45:27.000Z","RO Water System,Visitor Parking,Fire Sprinklers","200000000","22538","₹","A prime investment in the heart of Bangalores CBDthis rare ground floor unit in a landmark building comes with a signed tenant, interiors underway, and rent starting July 1st. With 5 annual escalation, strong visibility, and high footfall, it promises steady income and excellent appreciation potential.","At a competitive ₹20 Cr, this office space is on sale with a decent 8874 square feet in the Richmond Town. By paying the Rs 200000000 you can easily block your office space. For your business, this office space is the best place as it is positioned on the 1 floors of the building. The office space offers about 4 washrooms. For your ease, a Property Currently Leased Out area in this office space offering value benefits. With multiple parking options, you can easily park your vehicle nearby as there are 5 covered parking slots.",,"19202|Jain University School Of Sciences","19202|WLC College India","19203|Sankarambal Nursing Home","19203|Dentizz Hospital.","19210|Baiyyappanahali Railway Station",,,,"Close to Richmond Town","12.962554,77.604187","Sevenraj","Sevenrajs Estate Agency","6478",,,"4","North","7","Bangalore",,"Bangalore, Karnataka","8874",,"12800",,
"73920929","2832-Sq-ft-Commercial-Office-Space-FOR-Sale-Hoodi-Main-Road-in-Bangalore&id=4d423733393230393239"," Commercial Office Space for New Property in Hoodi Main Road","2025-09-06T22:30:36.000Z","Air Conditioned,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Wheelchair Accessibility,Conference Room","29000000","10240","₹","Office space with rental income of 1.5L  3 Years contact with 1 year Lockin . Assured returns on your rental investment","Situated in the commercial hub of Hoodi Main Road, this prime office space has a ample of 2832 square feet and ₹2.90 Cr options to choose from. While one would like to book an office space, a minimum booking fee of Rs 50000 to be shell out. A decent number of 4 washrooms are available in this workplace space. For your convenience, a Virtual Space Option area in this office space is another value add.",,"19203|Meghana Nursing Home Hospital",,,,,,,,"Hoodi Railway Station","12.99200612,77.71569216","Prasad",,"2650","12850",,"4","East","3","Bangalore",,"Bangalore, Karnataka","2832",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Mar/14/Photo_h180_w240/73920929_13_PropertyImage1741961747946_180_240.jpg"
"69023089","2084-Sq-ft-Commercial-Office-Space-FOR-Sale-Shanti-Nagar-in-Bangalore&id=4d423639303233303839"," Commercial Office Space for Resale in Shanti Nagar","2025-09-09T17:35:01.000Z","Air Conditioned,Internet/Wi-Fi Connectivity,Intercom Facility,Conference Room","26800000","12860","₹","Discover an incredible opportunity to elevate your business in the heart of Bangalore. This office space, located in the prestigious Shanti Nagar area, offers a prime location for your business needs. With modern amenities, convenient access, and a thriving business environment, this office space is your gateway to success. Don't miss out on this rare chance to secure your place in this thriving business district.Property SpecificationsSpanning an impressive super area of 2084 square feet, this meticulously designed office space is ready to accommodate your business needs in style. The carpet area of 1600 square feet ensures efficient utilization of space while maintaining a comfortable and spacious ambiance. Fully furnished, this office space caters to your diverse requirements. It boasts 4 private cabins, 3 open cabins, a well-appointed boardroom, a dedicated discussion room, a convenient wet pantry for refreshments, 2 washrooms, and even a store room for your storage needs. That is not all, there are 8 workstations and an inviting reception cum waiting area. Comfort is paramount with 6 separate air conditioning units, including 3 two-ton and 3 one-and-a-half-ton ACs, ensuring climate control tailored to your preferences. The vitrified tile flooring throughout the office uplifts the overall proficient look, while two meeting rooms feature carpet flooring, for a touch of sophistication.This office space is best suited for a regional office, offering the ideal environment for your business to thrive in the bustling Shanti Nagar area of Bangalore.FacilitiesParking is hassle-free with 2 dedicated spaces and the property is also supported by 24 hour water supply, DG set for power backup, and security personnel to keep a close watch on/around the premises. Also, a lift is present to help people access the floors without any hassle.LocalityThis office space in Shanti Nagar, Bangalore, is conveniently located near the HDFC Bank (Shantinagar) and the KSRTC Corporate Office. You'll find hospitals, malls, restaurants, and major banks like HDFC, ICICI, Kotak, and Axis Bank in the vicinity. Public transport is efficient with a nearby bus stop, KSRTC Depot, and a metro station within a 2-kilometer radius. The closest railway station is the Majestic Railway Station in Central Bangalore, ensuring excellent connectivity for your business needs.","Business cum office space is available for sale on a good deal in Shanti Nagar with different 2084 square feet options and at a competitive ₹2.68 Cr. Ample of 2 washrooms are available in this office space. An extra benefit is a Wet Pantry/Cafeteria area that comes as an addition to the offerings.",,"19202|Egment International Pre School","19202|Nirmala Girls High School","19203|Amma Hospital And Dental Care","19203|Yellamma Dasappa Hospital","19210|Langford Town Metro Station",,,,,"12.95612448,77.59931028","GEORGE JOHN",,"1532",,,"2","East","4","Bangalore",,"Bangalore, Karnataka","2084",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Sep/15/Photo_h180_w240/69023089_16_iuresh13_180_240.jpg"
