"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"81299933","3488-Sq-ft-Warehouse-Godown-FOR-Sale-in-Bangalore&id=4d423831323939393333"," Warehouse/ Godown for Resale in ","2025-09-09T13:50:22.000Z",,"27000000","7741","₹","The warehouse is available for sale. It is a good location property. Please contact for more details.","Check out this warehouse available for sale in Hosur, Tamilnadu which is spread over a super area of 3488 square feet at an affordable price of ?2.70 Cr. The following address Bangalore, Karnataka, is where you may view the warehouse space for sale.",,,,,,,,,,,,"Bhaskar",,,,,,,"4","Bangalore",,"Bangalore, Karnataka","3488",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/09/Photo_h180_w240/81299933_2_1000020576_180_240.jpg"
"62752509","1748-Sq-ft-Warehouse-Godown-FOR-Sale-Koramangala-8th-Block-in-Bangalore&id=4d423632373532353039"," Warehouse/ Godown for Resale in Koramangala 8Th Block","2025-09-05T17:35:02.000Z",,"25000000","14302","₹","The dimensions of the property are 31 x 56.4. 56.4 is to the road. RCC construction. The property has commercial power and water. It was previously rented to a printing press.","This warehouse is available for sale in Koramangala 8th Block is spread across a super built up area of 1748 square feet, and is priced at a reasonable rate of ₹2.50 Cr. For further details on this godown for sale, the address is Koramangala 8th Block, Bangalore - South, Karnataka. The warehouse is beside near shiva theater complex and koramangala passport office..",,"19201|Spring Board","19202|Narayana E Tecno School",,,,,,,"Near Shiva Theater Complex and Koramangala Passport Office.","12.94211218,77.61864676","Mahesh Rumale",,,,,,,"1","Bangalore",,"Bangalore, Karnataka","1748",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2022/Aug/24/Photo_h180_w240/62752509_8_hatsAppImage2022-08-24at5.44.11AM_180_240.jpeg"
"80346585","20000-Sq-ft-Warehouse-Godown-FOR-Sale-in-Bangalore&id=4d423830333436353835"," Warehouse/ Godown for Resale in ","2025-09-05T17:35:02.000Z",,"200000000","10000","₹","The warehouse is available for sale. It is a good location property. Please contact for more details.","This warehouse in the area of Dabaspete, Bangalore is spread over a super area of 20000 square feet. The ongoing rate for this warehouse is ₹20 Cr. The following address can be used to learn more about this warehouse for sale: Bangalore, Karnataka.",,,,,,,,,,,,"Preetham Gowdru",,,,,,,"1","Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/06/Photo_h180_w240/80346585_1_1000140850_180_240.jpg"
"81246929","1-Acre-Warehouse-Godown-FOR-Sale-Nelamangala-Road-in-Bangalore&id=4d423831323436393239"," Warehouse/ Godown for Resale in Nelamangala Road","2025-09-06T06:12:46.000Z",,"80000000","1837","₹","  Warehouse/ Godown is available for Sale in Nelamangala Road, Bangalore for 8.0 Crore(s)","This well built warehouse in Nelamangala Road is available for sale, and has a super area of 1 square feet. The warehouse is available at an affordable price of ₹8 Cr. Once can view this warehouse on sale at the following address: Nelamangala Road, Bangalore - West, Karnataka.",,,,,,,,,,,"13.00938098,77.42515461","rathna muthu rathna muthu",,,,,,,"1","Bangalore",,"Bangalore, Karnataka","1",,"12804",,
"79416181","80000-Sq-ft-Warehouse-Godown-FOR-Sale-Doddaballapur-in-Bangalore&id=4d423739343136313831"," Warehouse/ Godown for Resale in Doddaballapura","2025-08-27T23:35:25.000Z",,"170000000","2125","₹","The warehouse is available for sale. It is a good location property. Please contact for more details.","This warehouse in the area of Doddaballapur is spread over a super area of 80000 square feet. The ongoing rate for this warehouse is ₹17 Cr. The following address can be used to learn more about this warehouse for sale: Doddaballapur, Bangalore - Bangalore Rural, Karnataka.",,"19201|Apparel Park Doddabalapura","19201|Avishkar Technologies","19202|Lavanya Composite PU College","19202|M.s.v Public School","19203|Jain Clinic","19203|Columbia Asia Hospital - Doddaballapur","19210|Doddaballapur Railway Station","19210|Doddaballapura Old Bus Stand Bus Stop",,"13.290431,77.539701","Mrs Sowmya L",,,,,,,"2","Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/14/Photo_h180_w240/79416181_5_BPWarehouseInside2_180_240.jpg"
"69517349","3249-Sq-ft-Warehouse-Godown-FOR-Sale-Chamrajpet-in-Bangalore&id=4d423639353137333439"," Warehouse/ Godown for Resale in Chamrajpet","2025-08-27T17:35:01.000Z",,"47110500","14500","₹","  Warehouse/ Godown is available for Sale in Chamrajpet, Bangalore for 4.7 Crore(s)","This warehouse in the area of Chamrajpet is spread over a super area of 3249 square feet. The ongoing rate for this warehouse is ₹4.71 Cr. Once can view this warehouse on sale at the following address: Chamrajpet, Bangalore - Central, Karnataka.",,"19202|Bhavan","19202|Sitadevi Ratanchand Nahar School","19203|St Marys Maternity Hospital","19210|TR Mill Bus Stop",,,,,,"12.958692,77.5640539","Madan",,,,,,,"2","Bangalore",,"Bangalore, Karnataka","3249",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Oct/23/Photo_h180_w240/2619_IMG20230718165209_180_240.jpg"
"73570947","1200-Sq-ft-Warehouse-Godown-FOR-Sale-Nayandahalli-in-Bangalore&id=4d423733353730393437"," Warehouse/ Godown for Resale in Nayanda Halli","2025-08-30T17:35:01.000Z",,"12000000","10000","₹","The warehouse is available for sale. It is a good location property. Please contact for more details.","This well built warehouse in Nayandahalli is available for sale, and has a super area of 1200 square feet. The warehouse is available at an affordable price of ₹1.20 Cr. Make the best use of this warehouse space by simply paying a booking amount of Rs 100000. The following address Nayandahalli, Bangalore - West, Karnataka, is where you may view the warehouse space for sale.",,"19201|Divinity Mall","19201|Global Mall","19202|Nayanda Halli Government School","19202|Vishwa Bharti English School","19203|Vet Hospital","19210|Nayandahalli Metro Station","19210|Mysuru Road Metro Station",,,"12.94271985,77.52538161","Rajesh",,,,,,,"2","Bangalore",,"Bangalore, Karnataka","1200",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Jun/29/Photo_h180_w240/73570947_1_1BuildingPhoto2_180_240.jpg"
"76565963","1500-Sq-ft-Warehouse-Godown-FOR-Sale-Badamanavarathekaval-in-Bangalore&id=4d423736353635393633"," Warehouse/ Godown for Resale in Badamanavarathekaval","2025-09-05T16:58:41.000Z",,"7500000","5000","₹","1500 sqft property with a shed built up for 900 sqft ready move in with water storage and a private toilet with a minimum rental income of 15000","This warehouse is available for sale in Badamanavarathekaval is spread across a super area of 1500 square feet, and is priced at a reasonable rate of ₹75 Lac. You can get this warehouse space, by simply paying a booking amount of Rs 200000. The following address can be used to learn more about this warehouse for sale: Badamanavarathekaval, Bangalore - South, Karnataka. The landmark easy access mysore and kanakpura highway close to schools and college is situated near this godown.",,,,,,,,,,"easy access Mysore and Kanakpura highway close to schools and college","12.85712627,77.49402219","Hari",,,,,,"North","1","Bangalore",,"Bangalore, Karnataka","1500",,"12800",,
"66937677","5000-Sq-ft-Warehouse-Godown-FOR-Sale-Kalasipalya-in-Bangalore&id=4d423636393337363737"," Warehouse/ Godown for Resale in Kalasipalya","2025-09-06T17:35:02.000Z",,"33100000","6620","₹","  Warehouse/ Godown is available for Sale in Kalasipalya, Bangalore for 3.3 Crore(s)","Located in a prime area of Kalasipalya, this warehouse has access to all social nearby amenities. It is spread over a super area of 5000 square feet and comes at a sale price of ₹3.31 Cr. The following address can be used to learn more about this warehouse for sale: Kalasipalya, Bangalore - Central, Karnataka.",,"19202|Nobal English School","19203|Popular Nursing Home","19210|Krishna Rajendra Market Metro Station, Bangalore","19210|Krishna Rajendra Market Metro Station",,,,,,"12.95982192,77.57896362","Atma Mani",,,,,,,,"Bangalore",,"Bangalore, Karnataka","5000",,"12800",,
"66903883","3000-Sq-ft-Warehouse-Godown-FOR-Sale-Chandra-Layout-in-Bangalore&id=4d423636393033383833"," Warehouse/ Godown for Resale in Chandra Layout","2025-09-04T17:35:01.000Z",,"35000000","11667","₹","  Warehouse/ Godown is available for Sale in Chandra Layout, Bangalore for 3.5 Crore(s)","Check out this warehouse available for sale in Chandra Layout which is spread over a super area of 3000 square feet at an affordable price of ₹3.50 Cr. The following address Chandra Layout, Bangalore - Central, Karnataka, is where you may view the warehouse space for sale.",,"19202|Sri Siddaganga Higher Primary School","19202|Oxford School","19203|Sri Vinayak Hospital","19210|Chandra Layout Bus Stop",,,,,,"12.953833,77.523372","Nesrulla Khan",,,,,,,,"Bangalore",,"Bangalore, Karnataka","3000",,"12800",,
