"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"79704445","2-BHK-4000-Sq-ft-Farm-House-FOR-Sale-Doddaballapur-Main-Road-in-Bangalore&id=4d423739373034343435","2BHK Farm House for New Property in Doddaballapur Main Road","2025-09-07T23:45:29.000Z","Bar/Lounge,Air Conditioned,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Laundry Service,RO Water System,Service/Goods Lift,Visitor Parking,Intercom Facility","45000000","11250","₹","Avillion Farms goes above and beyond in providing unparalleled luxury, sophistication, functionality, comfort and style that come together in perfect harmony in a home that inspires the Future of Living.","Spread across a carpet area of 4000 sqft square feet, this 2 BHK farm house is available for sale in Doddaballapur Main Road. This farm house with easy access to other amenities comes at an affordable price. This sale property is available for sale with all the basic amenities in the vicinity. You can purchase this semi-furnished farmhouse and live comfortably with your loved ones. For parking, this farm house provides you 2 covered spaces. Situated in a prime location, this farmhouse also has the luxury of Study additional rooms. This farmhouse is located close to verdant landscape in thondebhavi, dhodballapur, towards north bangalor.This farmhouse is located close to verdant landscape in thondebhavi, dhodballapur, towards north bangalor.",,"19202|Kendriya Vidyalaya Crpf","19202|K B M Blossom Public School","19203|Nandi Multispeciality Hospital","19203|Rajdhani Nursing Home","19210|Rajanukunte Railway Station",,,,,"verdant landscape in Thondebhavi, Dhodballapur, towards North Bangalor","13.20134058,77.56059071","CityScape Consulting","City Scape Consulting  ","4000","12850",,"3","North",,"Bangalore","2","Bangalore, Karnataka","4000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/26/Photo_h180_w240/79704445_6_hatsAppImage20240208at12.36.33PM1_180_240.jpeg"
"80201309","3-BHK-27000-Sq-ft-Farm-House-FOR-Sale-Gopasandra-in-Bangalore&id=4d423830323031333039","3BHK Farm House for Resale in Gopasandra","2025-09-09T23:45:26.000Z","Bar/Lounge,Air Conditioned,Banquet Hall,Jogging and Strolling Track,Laundry Service,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Intercom Facility,Conference Room","690000000","25556","₹","Luxurious Villa Farmhouse available for sale near Nambiar Bellezea on Sarjapur Main Road, Gopasandra. Plot size is 27000 Sqft 100X270.It has 3 BHK Lavish house with swimming pool, cricket pitch net, 70 percent of Open Space.","A 3 BHK farmhouse is available at a reasonable selling price in the prime locality of Gopasandra. Worth every penny, this farmhouse sprawls across a carpet area of 5000 sqft square feet and enjoys amazing connectivity to the other parts of the city and social amenities. Available for sale, this furnished farmhouse can be purchased and is resale property with all the basic amenities present close by. The farm house is 5 to 10 years years old. The farmhouse  has spacious 7 open spaces for positioning your cars and other vehicles. This strategically located farmhouse has Puja Room, Study, Store and Servant Room additional rooms. nambiar bellezea is the nearest landmark to this property.",,"19202|Government Model Primary School","19202|Siri Shrine PU College",,,,,,,,"Nambiar Bellezea","12.84407822,77.7414036","Krishna M",,"5000","12850",,"4","East",,"Bangalore","3","Bangalore, Karnataka",,,"12800",,
"81286517","1-BHK-6000-Sq-ft-Farm-House-FOR-Sale-Nelamangala-Road-in-Bangalore&id=4d423831323836353137","1BHK Farm House for Resale in Nelamangala Road","2025-09-09T23:32:33.000Z","Air Conditioned,Banquet Hall,Jogging and Strolling Track,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Intercom Facility","5500000","917","₹"," Invest Smart, Live Green  SR Avni Greens  Near Nelamangala  Doddaballapur SH-74  Railway Gollahalli Looking for the perfect blend of Nature   Peace   Profits Welcome to SR Avni Greens, your gateway to premium farm living with long-term value  Own Your 6000 Sqft Farm Unit With 25  Organic Plantation Trees Gated Community","A 1 BHK farmhouse is available at a reasonable selling price in the prime locality of Nelamangala Road. Worth every penny, this farmhouse sprawls across a carpet area of 450 sqft square feet and enjoys amazing connectivity to the other parts of the city and social amenities. Available for sale, this semi-furnished farmhouse can be purchased and is resale property with all the basic amenities present close by. This strategically located farmhouse has Puja Room, Study and Servant Room additional rooms.",,,,,,,,,,,,"13.00938098,77.42515461","Ramesh",,"450",,,"1","East",,"Bangalore","1","Bangalore, Karnataka","6000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/09/Photo_h180_w240/81286517_7_PropertyImage905-2209638458093_180_240.jpg"
"75779441","4-BHK-4000-Sq-ft-Farm-House-FOR-Sale-Kalyan-Nagar-in-Bangalore&id=4d423735373739343431","4BHK Farm House for Resale in Kalyan Nagar","2025-09-04T17:35:01.000Z",,"80000000","20000","₹","Ekhata property surrounded by greenery, 60ft from the main road, 2 entrances to the property,  fully furnished 1800 sqft 4bhk house","This resale farmhouse is available for sale in a unfurnished state, with all necessary amenities in a convenient proximity. This luxuriuous and beautiful farmhouse has a construction age of Above 20 years years. The farmhouse is near to kullappa circle.",,"19201|Splendid Plaza - Kalyan Nagar","19201|Raj Arcade","19202|Royale Concode Intrnational Chool","19202|Maxwell Public School","19203|Ovum Hospital","19203|Specialist Hospital","19210|Kalyananagara Bus Stand Bus Stop",,,"kullappa circle","13.027435,77.640075","We Know De Paul",,,,,"3",,,"Bangalore","4","Bangalore, Karnataka","4000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Dec/03/Photo_h180_w240/75779441_2_PropertyImage921-2102684182435_180_240.jpg"
"80734291","1-BHK-7000-Sq-ft-Farm-House-FOR-Sale-Gauribidanur-in-Bangalore&id=4d423830373334323931","1BHK Farm House for Resale in Gauribidanur","2025-09-03T23:53:10.000Z","Conference Room","4900000","700","₹","1 BHK, Farm House is available for Sale in Gauribidanur, Bangalore for 49.0 Lac(s)","You can buy this unfurnished farmhouse with all the basic amenities nearby. It is a resale property available for sale. You can safely park your vehicles at the 1 open spaces available with this farmhouse. Strategically located, this farm house also features None of these additional room. gauribidanur town is the nearest landmark to this property.",,"19202|Leaders International School",,,,,,,,,"Gauribidanur town","13.611159,77.516957","JD Homes",,,"12850",,"1","West",,"Bangalore","1","Bangalore, Karnataka","7000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Aug/01/Photo_h180_w240/80734291_1_hatsAppImage20250730at11.31.07AM_180_240.jpeg"
"75865117","3-BHK-7000-Sq-ft-Farm-House-FOR-Sale-Sadashiva-Nagar-in-Bangalore&id=4d423735383635313137","3BHK Farm House for Resale in Sadashiva Nagar","2025-09-07T23:45:30.000Z","Air Conditioned","350000000","50000","₹","It is commercial plot available in Sadashiv nagar","Located in Sadashiva Nagar, this 3 BHK farm house for sale has access to all major amenities. It is spread over a carpet area of 7000 sqft square feet and is available for sale at an affordable price of ₹35 Cr. This resale property is available for sale with all the basic amenities in the vicinity. You can purchase this unfurnished farmhouse and live comfortably with your loved ones. For parking, this farm house provides you 5 covered spaces. This farm house located in the prime locality, comes with None of these additional rooms.",,"19202|Arogya Yogasana School","19202|Stella Maris School","19203|Elite Global Hospital","19203|Chirayu Hospital",,,,,,,"13.00780238,77.5810845","Kumar",,"7000",,,"4","East",,"Bangalore","3","Bangalore, Karnataka","7000",,"12800",,
"80217273","3-BHK-2000-Sq-ft-Farm-House-FOR-Sale-in-Bangalore&id=4d423830323137323733","3BHK Farm House for Resale in ","2025-08-28T17:35:01.000Z",,"18000000","9000","₹","Farm house is available for sale. It is a good location property. Please contact for more details.","Available for sale, this furnished farmhouse can be purchased and is resale property with all the basic amenities present close by.",,,,,,,,,,,,,"Neeta Mathew",,,,,"3",,,"Bangalore","3","Bangalore, Karnataka","2000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jun/28/Photo_h180_w240/80217273_1_IMG5638_180_240.jpeg"
"58661289","1-BHK-3000-Sq-ft-Farm-House-FOR-Sale-Sarjapur-in-Bangalore&id=4d423538363631323839","1BHK Farm House for Resale in Sarjapura","2025-08-31T17:35:02.000Z","Outdoor Tennis Courts,Internet/Wi-Fi Connectivity,Visitor Parking","250000000","83333","₹","East facing farm land with jogging track and mango orchard with 25 year old yielding trees.","A 1 BHK farmhouse is available at a reasonable selling price in the prime locality of Sarjapur. Worth every penny, this farmhouse sprawls across a carpet area of 3000 sqft square feet and enjoys amazing connectivity to the other parts of the city and social amenities. The farmhouse is a ready to buy resale property with all amenities available nearby and is furnished furnished. Well planned with a construction age of 15 to 20 years years, this farm house is beautiful. The farmhouse  has spacious 2 covered spaces for positioning your cars and other vehicles. This farm house located in the prime locality, comes with Puja Room, Study, Store and Servant Room additional rooms. The property can be easily located through the nearby property is close to international school  tisb and wipro sez . landmarks.",,"19202|St. Philomena's English School","19202|Sardar Vallabhabai Patel Education Society","19203|Motherhood","19210|Sarjapura Bus Stop",,,,,,"Property is close to International school  TISB and WIPRO SEZ .","12.8539625,77.7889754","Ashok Kumar",,"3000","12850",,"5","East",,"Bangalore","1","Bangalore, Karnataka","3000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Dec/01/Photo_h180_w240/58661289_3_131cddc1b634ef1ac646c7aac31fb24_180_240.jpeg"
"79817345","1-BHK-20-Guntha-Farm-House-FOR-Sale-in-Bangalore&id=4d423739383137333435","1BHK Farm House for Resale in ","2025-08-11T22:30:43.000Z",,"12000000","51","₹","Farm house is available for sale. It is a good location. Please contact for more details.","You can buy this unfurnished farmhouse with all the basic amenities nearby. It is a resale property available for sale.",,,,,,,,,,,,,"basavaraju c",,,,,"1",,,"Bangalore","1","Bangalore, Karnataka","20",,"12819",,
"67801015","1100-Sq-ft-Farm-House-FOR-Sale-Industrial-Layout-in-Bangalore&id=4d423637383031303135"," Farm House for Resale in Industrial Layout","2025-09-06T08:34:41.000Z",,"20000000","18182","₹","1200 Sq-ft Farm House is available for Sale in Industrial Layout, Bangalore for 2.0 Crore(s)",,,"19210|Chikkabegur Metro Station",,,,,,,,,,"12.88190141,77.63474802","Surendra",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka","1100",,"12800",,
