"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"62494399","3-BHK-4700-Sq-ft-Villa-FOR-Rent-whitefield-in-Bangalore&id=4d423632343934333939","3BHK Villa for Rent in Total Environment Windmills Of Your Mind at Whitefield","2025-09-09T23:45:25.000Z","Air Conditioned,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Laundry Service,Internet/Wi-Fi Connectivity,RO Water System,Service/Goods Lift,Intercom Facility","350000","74","₹","3 bhk North facing villa with a large garden and a terrace garden",,,"19201|Park Square Mall","19201|Sigma Soft Tech Park Gamma Block","19202|Sve Techno School","19202|Abvk School","19203|Columbia Asia Hospital,Whitefield","19203|Devi Eye Hospital","19210|Nallur Halli Metro Station","19210|Varthuru Police Station Bus Stop",,"Next to LTinfotech","12.9680475,77.739097","Vanya Homes","Vanya Homes","3850","12850","2","4","North",,"Bangalore","3","Bangalore, Karnataka","4700",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2022/Nov/15/Photo_h180_w240/62494399_2_1668423462307-323_180_240.jpg"
"79484919","2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-HSR-Layout-in-Bangalore&id=4d423739343834393139","2BHK Residential House for Rent in Hsr Layout","2025-09-09T23:45:27.000Z","Air Conditioned,Jogging and Strolling Track,Internet/Wi-Fi Connectivity,RO Water System,Intercom Facility","25000","25","₹","2bhk 2 toilet specious and ventilation ground floor security and 24 hours water , close to market and bus stop","This 2 BHK house is up for rent in the well-known HSR Layout area. You will also have to pay a monthly rent of ₹25,000. There is also Servant Room in the house.",,"19201|Global Techonology Park","19201|CS-HSR BDA Complex","19202|Freedom International School","19202|Oxford College Of Science","19203|Narayana Multispeciality Hospital, Hsr Layout","19203|Narayana Hospital","19210|Mangammanapalya Bus Stop","19210|HSR Layout Metro Station",,"near asha tiffan, 5th main road 7 th sector hsr layout Bangalore","12.9114311,77.6445763","Cheluvaraj","Vishwas Group","800","12800","2","2","North",,"Bangalore","2","Bangalore, Karnataka","1000",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/18/Photo_h180_w240/79484919_1_PropertyImage619-201777180062_180_240.jpg"
"79474201","3-BHK-2489-Sq-ft-Villa-FOR-Rent-whitefield-in-Bangalore&id=4d423739343734323031","3BHK Villa for Rent in Prestige Mayberry at Whitefield","2025-09-09T23:45:25.000Z","Jogging and Strolling Track,Internet/Wi-Fi Connectivity,Intercom Facility","100000","40","₹","3 BHK, Villa is available for Rent in Whitefield, Bangalore for 1.0 Lac(s)",,,"19201|Dynarx Technologies","19201|Pattandur Agrahara Brigade Tech","19202|Saint Teresa International School","19202|A1 Banking & Ssc Coaching Institute","19203|Sri Sathya Sai Super Speciality Hospital","19203|Aster Whitefield Hospital","19210|Varthuru Police Station Bus Stop","19210|Hope Farm Circle Bus Stop",,,"12.9680475,77.739097","WhiteCity Properties","White City Properties",,"12850","1","3","East",,"Bangalore","3","Bangalore, Karnataka","2489",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/18/Photo_h180_w240/79474201_7_PropertyImage124-31909367210847_180_240.jpg"
"80660745","1-BHK-500-Sq-ft-Residential-House-FOR-Rent-Belathur-in-Bangalore&id=4d423830363630373435","1BHK Residential House for Rent in Belathur","2025-09-08T23:45:28.000Z",,"16000","32","₹","This spacious semi furnished 1 BHK independent Apartment for boys, girls, and family is located at Belathur, Bengaluru and is close to the major commercial centers of the area. This independent apartment with a floor space of 500 sq.ft in total. This house features Modular kitchen and more. It has one bathroom with all facilities. It can be rented at 16000 for full house. Book it now","The 1 BHK house is currently available for rent in Belathur. You will also have to pay a monthly rent of ₹16,000. There is also a facility of 1 Covered parking. The tenants of the house have access to additional facilities such as 1 Wardrobe, 1 Bed and Gas Connection. The house is equipped with vitrified flooring. The house also has Store.",,"19201|A1 Fresh World Super Market",,,,,,,,,,"13.006013,77.75202","Prashant M",,,"12850","1","1","East",,"Bangalore","1","Bangalore, Karnataka","500",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/26/Photo_h180_w240/80660745_10_hatsAppImage20250726at8.34.51PM_180_240.jpeg"
"74777099","4-BHK-3500-Sq-ft-Villa-FOR-Rent-Haralur-Main-Road-in-Bangalore&id=4d423734373737303939","4BHK Villa for Rent in RBD Stillwaters at Haralur Main Road","2025-09-07T23:45:29.000Z","Jogging and Strolling Track","138000","39","₹","RBD Stillwaters Beautiful Fully Furnished 4bhk  Villa is Available for rent From 1st October",,,,,,,,,,,,"RBD Stillwaters  Silver County Rd, Lakedew Residency, Haralur, Bengaluru, Karnataka 560102","12.90330525,77.66164676","Naveen  Gowda","Myneighbour","2300","12850","2","4","East",,"Bangalore","4","Bangalore, Karnataka","3500",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Sep/07/Photo_h180_w240/74777099_13_hatsAppImage20240907at4.36.06PM11_180_240.jpeg"
"80945381","4-BHK-2820-Sq-ft-Villa-FOR-Rent-Thanisandra-Main-Road-in-Bangalore&id=4d423830393435333831","4BHK Villa for Rent in Antaliea Homes at Thanisandra Main Road","2025-09-07T23:45:27.000Z","Jogging and Strolling Track","90000","32","₹","semi furnished villa  property available for rent in antelia homes with lift",,,"19201|Kiadb Devenahalli It Park","19201|Bhaartiya City Tech Park","19202|Sofia Public School","19202|Saamar International Islamic School","19203|Avani Clinic - Women & Child Care","19210|Thanisandra Railway Station",,,,"close to techparks, malls, restaurants","13.07709976,77.63375253","Propfolio Associates","Propfolio Associates","2600","12850","3","4","West",,"Bangalore","4","Bangalore, Karnataka","2820",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Aug/15/Photo_h180_w240/80945381_7_hatsAppImage20250815at6.00.28PM2_180_240.jpeg"
"77801043","3-BHK-1600-Sq-ft-Villa-FOR-Rent-Phase-2-Tejaswini-Nagar-in-Bangalore&id=4d423737383031303433","3BHK Villa for Rent in Phase 2 Tejaswini Nagar","2025-09-09T23:45:26.000Z",,"30000","19","₹","3BHK semi furnished spacious villa with ample natural light and ventilation. This is perfect for families seeking comfort and peace. This comes up with top notch amenities parking space, puja room , study room and much more.",,,,,,,,,,,,,"12.85768913,77.6042256","Housewise","Housewise.in",,"12850","3","3","East",,"Bangalore","3","Bangalore, Karnataka","1600",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Feb/18/Photo_h180_w240/77801043_7_MG20250218WA0056_180_240.jpg"
"72990483","4-BHK-3500-Sq-ft-Villa-FOR-Rent-whitefield-in-Bangalore&id=4d423732393930343833","4BHK Villa for Rent in MIMS Ardendale at Whitefield","2025-09-08T23:45:26.000Z","Jogging and Strolling Track","70000","20","₹","There is now a 4 bhk house for rent in Kannamangala. See this stunning home in the heart of Bangalore East. This fourbedroom home boasts two patios and four bathrooms. The home is partially furnished. The home has one modular kitchen, four wardrobes, five lights, and five fans. The home is situated on a massive 2400 square foot plot of land. There are two covered parking spaces available on the property. The house is older than ten years. Youll find a fantastic property in one of the most soughtafter areas for 75,000. Water and electricity bills are not included",,,"19201|Park Square Mall","19201|Akshay Tech Park","19202|Glentree Academy","19202|Sathya Sai Institute Of Higher Medical Sciences","19203|Karunashrya Hospital","19203|Aster Whitefield Hospital","19210|Kadugodi Bus Stop","19210|Hope Farm Circle Bus Stop",,,"12.9680475,77.739097","Lokesh  Machappa","Dreams Realty","2800","12850","2","4","North",,"Bangalore","4","Bangalore, Karnataka","3500",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/02/Photo_h180_w240/72990483_11_1722765045058-8179_180_240.jpg"
"80005075","4-BHK-4720-Sq-ft-Villa-FOR-Rent-whitefield-in-Bangalore&id=4d423830303035303735","4BHK Villa for Rent in Chaithanya Smaran at Whitefield","2025-09-08T23:45:28.000Z","Bar/Lounge,Air Conditioned,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Laundry Service,Internet/Wi-Fi Connectivity,RO Water System,Intercom Facility,Conference Room","300000","64","₹","good gated community and near international school and old Madras road",,,"19201| International Tech Park Bangalore(Itpb)","19201|Sigma Soft Tech Park Gamma Block","19202|Shri Ram Global School","19202|St Josephs Convent","19203|Siddhanth Hospital","19203|Vydehi Hospital Multi Speciality","19210|Hope Farm Circle Bus Stop","19210|Nallur Halli Metro Station",,"seegehalli village white field main road Bangalore","12.9680475,77.739097","Mahesh","V R Real Estate ",,"12850","3","4","East",,"Bangalore","4","Bangalore, Karnataka","4720",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jun/16/Photo_h180_w240/80005075_6_PropertyImage470-11171149735867_180_240.jpg"
"80540673","5-BHK-4200-Sq-ft-Villa-FOR-Rent-Indira-Nagar-in-Bangalore&id=4d423830353430363733","5BHK Villa for Rent in Indiranagar","2025-09-09T23:45:25.000Z",,"265000","63","₹","Its a 5BHK Semi furnished villa available in gated community with all society amenities. Its a North facing unit with 3 car parking and has 5 toilets and 3 balcony. Its a 14 years old property.",,,"19201|Urban Vault","19201|Urban Vault","19202|New Horizon Public School","19202|Akshaya National Public School","19203|Revive Hospital","19203|Narayana Nethralaya Hospital.","19210|Indiranagara Police Station/KFC Bus Stop","19210|Hoysala Circle Bus Stop",,,"12.97360816,77.64114595","Infimax Advisors ","Infimax Advisors Pvt. Ltd",,"12850","3","5","North",,"Bangalore","5","Bangalore, Karnataka","4200",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/18/Photo_h180_w240/80540673_1_973528f37c54dff8d09f01179aa7b49_180_240.jpg"
"79801031","3-BHK-1688-Sq-ft-Villa-FOR-Rent-Attibele-in-Bangalore&id=4d423739383031303331","3BHK Villa for Rent in Golden Liberty Acres at Attibele","2025-09-07T23:45:28.000Z",,"35000","21","₹","A semi furnished 3 BHK villa is available for rent at INR 35,000 per month with INR 4000 maintenance charges. The villa is available with 3 bathrooms and 1 covered parking and is very spacious and with 1688 Sq.ft super area. When you are looking to move into a popular society, Golden Liberty Acres is considered one of the best around Attibele in Bangalore. It has all the high class amenities and facilities to enhance your lifestyle.",,,"19201|Hosur It Park","19201|Om Super Market","19202|St Philomenas High School","19202|Kls International School","19203|Kalppa Virusha Hospital","19203|Attibele Health Care",,,,,"12.78052495,77.77375337","Propdial",,"1350","12850","1","3","East",,"Bangalore","3","Bangalore, Karnataka","1688",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jun/01/Photo_h180_w240/79801031_7_MG20250531WA0009_180_240.jpg"
"80521775","5-BHK-9500-Sq-ft-Villa-FOR-Rent-Nandi-hills-in-Bangalore&id=4d423830353231373735","5BHK Villa for Rent in Prestige Golfshire at Nandi Hills","2025-09-08T23:45:26.000Z",,"450000","47","₹","Explore this society, prestige golfshire, located in nandi hills in bangalore north Live in this 5 bhk house for rent in nandi hills. This house consists of 5 bathrooms  3 balconies. This is a furnished house. The property is equipped with 6 light, 6 fan, 5 wardrobe, 5 geyser, 1 sofa, 1 washing machine, 1 stove, 1 fridge, 1 water purifier, 1 microwave, 1 modular kitchen, 1 chimney, 1 dining table, 1 curtains and 1 exhaust fan. This house is spread over super built up area of 16383 sq.Ft. Extra space for servant room. Tenants will get access to 2 covered parking.",,,"19202|Gitanjali International School","19203|Veterinary Hospital",,,,,,,,,"13.38024618,77.67524007","Radhika",,"7500","12850","3","5","North - West",,"Bangalore","5","Bangalore, Karnataka","9500",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/17/Photo_h180_w240/80521775_16_MG4605_180_240.JPG"
"81312563","4-BHK-4500-Sq-ft-Villa-FOR-Rent-Bellandur-in-Bangalore&id=4d423831333132353633","4BHK Villa for Rent in Adarsh Palm Retreat at Bellandur, Outer Ring Road","2025-09-10T11:13:39.000Z",,"350000","78","₹","4 BHK 24 hours water facility available 4 bhk villa  for rent it is a gated community,very good society all security, lifts, gym, garden Area etc. And near by IT Companies in minimum distance, like Prestige Tech amenities are avaliable like swimming pool, indoor Games, children play Area, badminton court, 24 hrs Park, Wipro co.limited, RMZ Eco World, Cesna business park, Embassy Tech Park, eco space, Accenture etc. And shopping malls are avaliable nearby location with good",,,"19201|Prestige Technology Park 3","19201|Viashnavi Tech Park","19202|Vibgyor Roots Anda Rise School","19202|Patel Group Of Institutions","19203|Asvins Care","19203|Sakra World Hospital","19210|Bellandur Bus Stop","19210|Bellandur Bus Station",,"Adarsh Palm Retreat bellandur","12.93146029,77.67440113","RAJU SANKANNAVAR","Sarvamangala Realtors","4000","12850","3","4","North - East",,"Bangalore","4","Bangalore, Karnataka","4500",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/10/Photo_h180_w240/81312563_7__180_240.jpg"
"80082355","4-BHK-9905-Sq-ft-Villa-FOR-Rent-Nandi-hills-in-Bangalore&id=4d423830303832333535","4BHK Villa for Rent in Prestige Golfshire at Nandi Hills","2025-09-08T23:45:25.000Z",,"450000","45","₹","4 BHK premium villa available for Rent at Prestige Golfshire, Nandi Hills",,,"19202|Gitanjali International School","19203|Veterinary Hospital",,,,,,,,"Schools Neraby","13.38024618,77.67524007","ASFEEN TAJ","DHN Realtors","7500","12850","2","4","East",,"Bangalore","4","Bangalore, Karnataka","9905",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jun/20/Photo_h180_w240/80082355_4_olfshire5_180_240.jpeg"
