"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"81056975","4-BHK-3032-Sq-ft-Residential-House-FOR-Sale-Kannamangala-in-Bangalore&id=4d423831303536393735","4BHK Residential House for New Property in Sobha Galera at Kannamangala","2025-09-06T17:35:55.000Z",,"49300000","16260","₹","Residential House for Sale in Kannamangala, Bangalore. Covered area is 3032.0  Sq-ft. This property belongs to ""Sobha Galera"" .","If you are searching for a perfect home for your family, this 4 BHK independent house for sale in Kannamangala, Bangalore can be a perfect choice. It is a part of the Sobha Galera project, and thus, is a personification of luxury. The possession of the house on Dec '26. Available at the price of ₹4.93 Cr this dec '26 house is in the prime location of Kannamangala. To visit this 4 BHK house for sale, you can reach at this address:Sobha Galera, Kannamangala, Bangalore - East, Karnataka.",,"19201|Karnataka Complex (Kannamangala)","19202|Jain Heritage School","19210|Kannamangala Bus Stop",,,,,,,,"13.0282951,77.7609415","DSN",,,,"4","4",,,"Bangalore","4","Bangalore, Karnataka","3032",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/06/04/Project-Photo-5-Sobha-Galera-Bangalore-5392369_1024_1600_310_462.jpg"
"73342549","4-BHK-4700-Sq-ft-Villa-FOR-Sale-whitefield-in-Bangalore&id=4d423733333432353439","4BHK Villa for Resale in Total Environment Windmills Of Your Mind at Whitefield","2025-09-07T23:45:26.000Z",,"120000000","25532","₹","4 BHK, Villa is available for Sale in Whitefield, Bangalore for 12.0 Crore(s)","Check out this one of its kind 4 BHK independent villa for sale at your preferred location of whitefield in Bangalore. Enjoy a villa lifestyle at Total Environment Windmills Of Your Mind, an all-new villa project by one of the renowned builders. Facing west, this independent villa is well-placed. This grand villa in whitefield is available for immediate resale. The ready to move villa comes to you at the price of ₹12 Cr.",,"19201|Dress Circle Shopping Mall- Whitefield","19201|Sigma Tech Park","19202|Whitefield Global School","19202|Footprints Preschool and Daycare","19203|Sri Sathya Sai Institute Of Higher Medical Sciences","19203|Vydehi Hospital Multi Speciality","19210|Nallur Halli Metro Station","19210|Kadugodi Bus Stop",,,"12.9680475,77.739097","Vanya Homes","Vanya Homes","3800",,"2","4","West",,"Bangalore","4","Bangalore, Karnataka","4700",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Jun/16/Photo_h180_w240/73342549_2_1718509645854-8599_180_240.jpg"
"76648797","5-BHK-4800-Sq-ft-Villa-FOR-Sale-whitefield-in-Bangalore&id=4d423736363438373937","5BHK Villa for Resale in SRK The Villagio at Whitefield","2025-09-09T23:45:25.000Z","Bar/Lounge,Air Conditioned,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Laundry Service,Internet/Wi-Fi Connectivity,RO Water System,Service/Goods Lift,Intercom Facility,Conference Room","66000000","13750","₹","This is 5 bhk beautiful Villa with plot size 2800sqft and built up area 4800sqft. Ground plus 2 floors with good amenities.Quiet society with many schools in the vicinity","A 5 BHK independent villa for sale is available in Bangalore in the prominent location of whitefield. This lavish villa in Srk The Villagio township is sure to meet your living standards, and offers a luxurious lifestyle to you and your family. The independent villa facing the east offers an added advantage to the property. This dazzling villa is available for resale in whitefield. Grab the chance to make this villa your new address. Available at a selling price of ₹6.60 Cr, this ready to move individual villa is an ideal dwelling for you. The villa is strategically located in whitefield with proximity to prominent sites valistus school, chrysalis school.",,"19201|Sigma Soft Tech Park Gamma Block","19201|Prestige Shantiniketan - Tower C","19202|Footprints Preschool and Daycare","19202|Vedavihaan The Global School","19203|Sri Sathya Sai Institute Of Higher Medical Sciences","19203|Aster CMI Hospital","19210|Hope Farm Circle Bus Stop","19210|Nallur Halli Metro Station",,"Valistus School, Chrysalis school","12.9680475,77.739097","WhiteCity Properties","White City Properties","4800","12850","3","5","East",,"Bangalore","5","Bangalore, Karnataka","4800",,"12800","2010","https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jan/03/Photo_h180_w240/76648797_5_PropertyImage713-4594794379543_180_240.jpg"
"80372491","3-BHK-3132-Sq-ft-Villa-FOR-Sale-whitefield-in-Bangalore&id=4d423830333732343931","3BHK Villa for New Property in RJ Brooke Square at Whitefield","2025-09-06T09:40:36.000Z","Banquet Hall,Service/Goods Lift,Visitor Parking,Intercom Facility,Conference Room","54400000","17369","₹","RJ Brooke Square is 49 limited and exclusive villaments. These vaastu - compliant units comprise of luxurious simplex, Duplex with private gardens and Penthouses with private terrace. Strategically located just 100 M from ITPL main road, RJ Brooke Square is niche amidst all the necessities you need and well connected with all the major areas of Bangalore.","Have a look at this praiseworthy 3 BHK independent villa that is for sale in one of the desirable locations of whitefield in Bangalore. This spacious and premium villa in Rj Brooke Square may just be the perfect villa for you. The direction of the house is important for many people; this independent villa is north facing.  Inclusive of all the modern and essential facilities is a lavish villa available for sale in whitefield. This ready to move property is available at price of ₹5.44 Cr. It is situated in the prominent locality of whitefield and is also near brrokefield mall  200 mtrbrookefield hospital 200 mtr.",,"19201|Pattandur Agrahara Brigade Tech","19201|Secon Tech Park","19202|Crayons Pre School","19202|K K English High School","19203|Vydehi Hospital Multi Speciality","19203|Devi Eye Hospital","19210|Varthuru Police Station Bus Stop","19210|Nallur Halli Metro Station",,"Brrokefield Mall  200 MtrBrookefield Hospital 200 Mtr","12.9680475,77.739097","RJ Group","RJ Group","2200","12850","2","5","North",,"Bangalore","3","Bangalore, Karnataka","3132",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/08/Photo_h180_w240/80372491_1_JBSPhoto_180_240.jpeg"
"78598903","4-BHK-3205-Sq-ft-Villa-FOR-Sale-Hoskote-in-Bangalore&id=4d423738353938393033","4BHK Villa for New Property in M1 Terra Alegria Phase 2 at Hoskote","2025-09-09T17:35:47.000Z",,"29200000","9111","₹","Join a thriving community where over 100 families have already found their home. We've successfully completed one phase and are excited to launch the next with 159 villas in a sprawling 9.5-acre land.","Elevate your lifestyle with this meticulously designed 4 BHK independent villa for sale located at a favourable location in Hoskote in Bangalore. Offering all the modern conveniences, this villa located in M1 Terra Alegria Phase 2 township is a great dwelling to settle down with your loved ones. Constructed to meet all the needs of a family, this spacious villa is up for immediate sale in Hoskote. Located at one of the finest locations, the possession for this villa is of Jun '26. This jun '26 property is available at price of ₹2.92 Cr.",,"19201|E.K. Sons Agro Foods","19201|AV softwares","19202|Hello Kids - Saigokula Preschool","19202|Mahadeva Pre University College - Hoskote","19203|Siliconcity Hospital","19203|Siliconcity Hospitals in Hoskote Bangalore","19210|Hoskote Govt Hospital Bus Stop","19210|KSRTC Bus Station",,,"13.0689366,77.7968211","Srinivas","M1 Homes",,,,"3",,,"Bangalore","4","Bangalore, Karnataka","3205",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/01/04/Project-Photo-23-M1-Terra-Alegria-Phase-2-Bangalore-5417959_1548_2000_310_462.jpg"
"80927737","4-BHK-2581-Sq-ft-Villa-FOR-Sale-Varthur-in-Bangalore&id=4d423830393237373337","4BHK Villa for New Property in Trendcon Aurelius at Varthur","2025-09-03T23:31:40.000Z",,"29200000","11313","₹","4 BHK, Villa is available for Sale in Varthur, Bangalore for 2.9 Crore(s)","Own this exquisite 4 BHK independent villa for sale in Varthur, Bangalore and enjoy a lifestyle of opulence & comfort.  This lavish villa in Trendcon Aurelius township is sure to meet your living standards, and offers a luxurious lifestyle to you and your family. This grand villa in Varthur is available for immediate sale. Its possession is available on Jun '26. Available at a selling price of ₹2.92 Cr, this under construction individual villa is an ideal dwelling for you.",,"19202|Foundation School - Cbse School","19202|Chrysalis High","19210|Varthuru Police Station Bus Stop",,,,,,,,"12.94162601,77.74251723","TRENDCON INFRA","Trendcon Infra","2581","12850","2","4",,,"Bangalore","4","Bangalore, Karnataka","2581",,"12800","2021","https://img.staticmb.com/mbphoto/property/cropped_images/2025/Aug/14/Photo_h180_w240/80927737_9_treetView_180_240.jpeg"
"79050737","4-BHK-3387-Sq-ft-Villa-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423739303530373337","4BHK Villa for New Property in Soulace By Modern Spaaces at Sarjapur Road","2025-09-09T17:35:47.000Z",,"38200000","11278","₹","Overall a massive community development in a cluster, comprising of Apartments, Villas  & Commercial spaces for convenience. The concept of ""We space"" and ""Me space"" is designed to  experience and value a particular landscape. By considering  both the collective and individual experiences of a place, to  create environments that are inclusive and responsive to the  needs and desires of all residents. A massive club house zoned centrally, and a green looped landscape is sure to give you a sense of balance between  indoor and outdoor living. Practice yoga on the lawn,  sweat it out with sports. Find your focus, chase your  goals & live healthy at Soulace.","Own this exquisite 4 BHK independent villa for sale in Sarjapur Road, Bangalore and enjoy a lifestyle of opulence & comfort.  Housed in Soulace By Modern Spaaces township, this villa offers a lavish living to the residents. Situated in Sarjapur Road, this gorgeous villa is available for sale. The promised possession date of the property is Jun '25. This ready to move villa with all modern amenities is priced at ₹3.82 Cr.",,"19202|St.Johns Medical College","19202|St Jeromes PU and Degree College","19203|Columbia Asia Hospital Sarjapur Road",,,,,,,,"12.91235,77.680996","Abhilash C","Modern Spaces",,,,"4",,,"Bangalore","4","Bangalore, Karnataka","3387",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2023/04/03/Project-Photo-9-Soulace-By-Modern-Spaaces-Bangalore-5399357_1200_1600_310_462.jpg"
"72832083","4-BHK-4000-Sq-ft-Villa-FOR-Sale-whitefield-in-Bangalore&id=4d423732383332303833","4BHK Villa for New Property in Sycon Maitri at Whitefield","2024-05-16T05:33:16.000Z",,"61800000","15450","₹","MAITRI, as the name suggests, is a melange spaces. Designed to be people friendly and environment, this neighborhood foster an interactive, secure and balanced living space. With only 6 villas per acre an 73% open space, the congestion of the city is left far behind. The self-contained integration enclave houses a vibrant community of families in a layout that boasts the most sophisticated facilities. Every one of villas are thoughtfully designed, keeping in mind the envolving tastes of todayâ??s home owners. Attention to the details timely execution and value creation is the hallmarks of Sycon.","Have a look at this praiseworthy 4 BHK independent villa that is for sale in one of the desirable locations of whitefield in Bangalore. Part of Sycon Maitri township, this lavish villa treats the residents with a modern lifestyle. Inclusive of all the modern and essential facilities is a lavish villa available for sale in whitefield. The possession date of this villa on sale is Dec '24. This ready to move individual villa with a wide range of amazing facilities is available at ₹6.18 Cr.",,"19201|Grace Shopping Mart","19201|Green City - Super Market","19202|Whitefield Global School","19202|Sathya Sai Institute Of Higher Medical Sciences","19203|Aster CMI Hospital","19203|Sri Sathya Sai Super Speciality Hospital Registration Block","19210|Nallur Halli Metro Station","19210|Hope Farm Circle Bus Stop",,,"12.9680475,77.739097","Radix Jha","Radix Realtors",,,,"5",,,"Bangalore","4","Bangalore, Karnataka","4000",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2023/02/04/Project-Photo-41-Sycon-Maitri-Bangalore-5041560_750_1000_310_462.jpg"
"80381645","4-BHK-1285-Sq-ft-Villa-FOR-Sale-K-R-Puram-in-Bangalore&id=4d423830333831363435","4BHK Villa for New Property in Krishnarajapura","2025-09-09T00:06:32.000Z","Air Conditioned","18500000","14397","₹","4 BHK, Villa is available for Sale in Krishnarajapura, Bangalore for 1.8 Crore(s)","This one of its kind 4 BHK independent villa for sale is situated in the prime location of K R Puram in Bangalore. Facing east, this independent villa is well-placed. With all great facilities and amenities this independent villa is up for sale in K R Puram. This well-designed individual villa which is ready to move comes at deal of ₹1.85 Cr.",,"19201|A1 Fresh World Super Market","19201|Families Hyper Mart","19202|I T I Central School","19202|Elixir International School","19203|Deepa Hospital","19203|Ayur Central","19210|Seegehalli Gate","19210|Kr Puram Railway Station",,,"13.00643164,77.72601115","R K Homes","RK Homes ","1083","12850","2","4","East",,"Bangalore","4","Bangalore, Karnataka","1285",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jul/09/Photo_h180_w240/80381645_7_PropertyImage680-2591097206325_180_240.jpg"
"73127475","4-BHK-3441-Sq-ft-Residential-House-FOR-Sale-Devanahalli-in-Bangalore&id=4d423733313237343735","4BHK Residential House for New Property in Sobha Oakshire at Devanahalli","2024-06-03T09:20:31.000Z",,"54565502","15857","₹","A wonderful enclave of exclusive homes. The perfect address for those who wish to beat the daily commute to work and yet be insulated from the bustle of urban life. Enjoy the luxury of a fully equipped clubhouse with the gamut of recreational amenities including a swimming pool, gym, health club, indoor badminton court, party halls, billiards, table tennis, board games, reading room, and provision for a creche. The open landscape also has an outdoor games area, and eldersâ?? park, a childrenâ??s play area and a pet park. All ensuring that every need of the neighborhood is met. Step in with your family and experience a digital way of living where your urban lifestyle is simple, smart and hassle-free. In short, at Sobha Oakshire, everything is designed thoughtfully to make you fall in love with your family, friends, and your life, all over again. ","Interested to buy an independent house in Bangalore? Check out this 4 BHK house for sale in Devanahalli. Own an aesthetically beautiful house in Sobha Oakshire that speaks elegance and comfort. Dec '26 is the possession date of the house. This under construction house in Devanahalli is available at the cost of ₹5.45 Cr. If you want to inspect this 4 BHK house on sale personally, the address is Sobha Oakshire, Devanahalli, Bangalore - Bangalore Rural, Karnataka.",,"19201|Kiadb It Park","19201|Drogher's Hub Supermarket","19202|Akash International School","19202|Nagarjuna College of Engineering Technology","19203|Akash Medical College Hospital","19203|Akash Hospital","19209|Kempegowda International Airport Bengaluru","19210|Devanahalli - Railway Station","19210|Airport Railway Station",,"13.24032816,77.71506051","SOBHA Limited","SOBHA Limited",,,,"4",,,"Bangalore","4","Bangalore, Karnataka","3441",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2023/04/05/Project-Photo-37-Sobha-Oakshire-Bangalore-5399627_1200_1600_310_462.jpg"
"76633861","3-BHK-2100-Sq-ft-Villa-FOR-Sale-Devanahalli-in-Bangalore&id=4d423736363333383631","3BHK Villa for New Property in Provident Deansgate at Devanahalli","2025-09-09T17:35:47.000Z",,"21735000","10350","₹","Elevating luxury living to unparalleled heights, Provident Deansgate embodies the captivating essence of Manchester right in the heart of North Bengaluru. Drawing inspiration from the enchanting allure of the English city, these pioneering residences in Bengaluru harmonise flawlessly designed red brick abodes, vintage-themed lampposts, and an exceptionally designed clubhouse crowned by a majestic clock tower. The atmosphere is further enriched by picket fences, English sculptures, and cobblestone pathways, transporting you to an era of timeless elegance. ","Looking for an independent villa for sale? Check out this magnificent 3 BHK villa that is strategically located in Devanahalli in Bangalore. Part of the Provident Deansgate project, this lovely villa is sure to be the perfect home for you and your family. Situated in Devanahalli, this charming villa is for immediate sale. The possession date of this residence is May '27. Available at a selling price of ₹2.17 Cr, this may '27 individual villa is an ideal dwelling for you.",,"19201|Drogher's Hub Supermarket","19201|Kiadb It Park","19202|Akash Institutions","19202|Akash International Residential Public School","19203|Akash Super Speciality Hospital","19203|Akash Hospital","19209|Kempegowda International Airport Bengaluru","19210|Akash Hospital Road","19210|Devanahalli Old Bus Stand",,"13.24032816,77.71506051","Provident Housing Limited",,,,,"3",,,"Bangalore","3","Bangalore, Karnataka","2100",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/02/28/Project-Photo-22-Provident-Deansgate-Bangalore-5417749_900_1600_310_462.jpg"
"81101581","4-BHK-3377-Sq-ft-Villa-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423831313031353831","4BHK Villa for New Property in Casa Life By Bhavisha Homes at Sarjapur Road","2025-09-02T17:35:49.000Z",,"30063241","8902","₹","For those looking to buy a residential property, here comes one of the choicest offerings in Bangalore East, at Sarjapur Road. Brought to you by Bhavisha Properties, Casa Life by Bhavisha Homes is among the newest addresses for homebuyers. There are villas for sale in Casa Life by Bhavisha Homes Sarjapur Road, Bangalore.","Looking for an independent villa for sale? Check out this magnificent 4 BHK villa that is strategically located in Sarjapur Road in Bangalore. The villa is a part of the Casa Life By Bhavisha Homes township, ensuring a luxurious living style for you and your family. Inclusive of all the modern and essential facilities is a lavish villa available for sale in Sarjapur Road. This property is available for possession on Dec '25. This dec '25 villa with all modern amenities is priced at ₹3 Cr.",,"19202|St Jeromes PU and Degree College","19202|St.Johns Medical College","19203|Columbia Asia Hospital Sarjapur Road",,,,,,,,"12.91235,77.680996","Parismita","Bhavisha Properties ",,,,"3",,,"Bangalore","4","Bangalore, Karnataka","3377",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/03/17/Project-Photo-17-Casa-Life-By-Bhavisha-Homes-Bangalore-5425195_900_1429_310_462.jpg"
"80509343","5-BHK-3532-Sq-ft-Villa-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423830353039333433","5BHK Villa for New Property in Casa Life By Bhavisha Homes at Sarjapur Road","2025-08-26T17:35:50.000Z",,"28916356","8187","₹","For those looking to buy a residential property, here comes one of the choicest offerings in Bangalore East, at Sarjapur Road. Brought to you by Bhavisha Properties, Casa Life by Bhavisha Homes is among the newest addresses for homebuyers. There are villas for sale in Casa Life by Bhavisha Homes Sarjapur Road, Bangalore.","Situated in one of the finest locations of Sarjapur Road in Bangalore, this 5 BHK independent villa is up for sale. Housed in Casa Life By Bhavisha Homes township, this villa offers a lavish living to the residents. This dazzling villa is available for sale in Sarjapur Road. Grab the chance to make this villa your new address. Located at one of the finest locations, the possession for this villa is of Dec '25. This dec '25 individual villa can now be yours for selling price of ₹2.89 Cr.",,"19202|St.Johns Medical College","19202|St Jeromes PU and Degree College","19203|Columbia Asia Hospital Sarjapur Road",,,,,,,,"12.91235,77.680996","Bhavisha Properties",,,,,"3",,,"Bangalore","5","Bangalore, Karnataka","3532",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/12/06/Project-Photo-6-Casa-Life-By-Bhavisha-Homes-Bangalore-5425195_900_1600_310_462.jpeg"
"78875949","3-BHK-1985-Sq-ft-Villa-FOR-Sale-Jigani-in-Bangalore&id=4d423738383735393439","3BHK Villa for New Property in Ranka Countryside at Jigani","2025-09-05T17:35:59.000Z",,"12100000","6096","₹","""Tucked away in the silent countryside of South Bengaluru, Ranka Countryside is an ongoing residential development spread across 6 acres. On offer are 80 residences, all of a standard size of ~ 2000 sft and a configuration of 3.5 BHK. These three-bedroom duplex residences are carefully designed keeping in mind optimum space utilization providing for a comfortable living experience.","Looking for an independent villa for sale? Check out this magnificent 3 BHK villa that is strategically located in Jigani in Bangalore. Housed in Ranka Countryside township, this villa offers a lavish living to the residents. This grand villa in Jigani is available for immediate sale. Available at a selling price of ₹1.21 Cr, this ready to move individual villa is an ideal dwelling for you.",,"19201|Jigani APC Circle","19201|Hni Autotech Pvt Ltd","19202|M Tress School","19202|SVYASA Deemed to be University","19203|YK Hospital","19203|Suhas Hospital","19210|Navya Badavane Bus Stop",,,,"12.77952541,77.64327886","Gaurav",,,,,"4",,,"Bangalore","3","Bangalore, Karnataka","1985",,"12800",,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/04/08/Project-Photo-23-Ranka-Countryside-Bangalore-5333357_720_1280_310_462.jpg"
