"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"80078081","1200-Sq-ft-Residential-Plot-FOR-Sale-Puttanahalli-in-Bangalore&id=4d423830303738303831"," Residential Plot for New Property in Puttanahalli","2025-09-08T23:40:05.000Z",,"1198800","999","₹"," 60, 40  30 Ft Roads. STP and Underground Sewagestorm water line. Rainwater Harvesting. Avenue Roads. Street Lights. 24 hrs Security. Forest trees raintrees that are rich in maintaining underground water levels. Imported coloured flower trees. Amphi Theatre. Childrens Park. Swimming Pool. Club House.","Nestled within the preferred residential locale of Puttanahalli, this plot is reasonably priced. Its selling price is ₹12 Lac, and it spans an area of 1200.0 with dimensions of 30 X 40. The plot offers an unobstructed view of the garden/park, main road adding to its value. The residential land is in close proximity to landmarks like 25 mins from hebbal flyover and 4 km to local railway station.. It faces a road of 30m",,,,,,,,,,,"25 mins from Hebbal flyover and 4 Km to local Railway Station.","13.1102605,77.58131497","DIAMOND CROWN PVT LTD",,,"12850",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Jun/19/Photo_h180_w240/80078081_4_SC1969_180_240.JPG"
"75734007","1500-Sq-ft-Residential-Plot-FOR-Sale-Jigani-in-Bangalore&id=4d423735373334303037"," Residential Plot for New Property in Mahaveer Palatium at Jigani","2025-09-09T17:35:47.000Z",,"5250000","3500","₹","When you think of the most graceful and royal style of architecture, Rome is possibly the first city that comes to mind. When the same elegant architecture comes as a home, in the most charming locale of Bangalore, you can be sure it is a home dreams are made of. And to give wings to your dreams, we, at Mahaveer group, present to you 122 Acres of Mahaveer Palatium, an ultimate residential choice that offers every possible facet of Roman grandeur. It all began once we came near Electronic City, one look and we knew that Palatium, the future of luxury, will be born here. We would not deny though, that its foundation took place around 2500 years ago. Offering possibly the widest choice of homes ranging from Villa plots to apartments to villas, this palatial property is set to fascinate one and all. The splendor of this landmark is such that once you will come, you will see and you will never want to leave, this Roman style city.","You can buy this plot with a booking amount of Rs 200000. Situated ideally in Mahaveer Palatium, this plot offers a prime position.",,"19201|New Collection Jigani","19201|Choice Super Market, Nissarga Layout","19202|SVYASA Deemed to be University","19202|Global Indian International School (Giis)","19203|Vijayashree Hospital","19203|Ace-Suhas Hospital","19210|Navya Badavane Bus Stop",,,,"12.77952541,77.64327886","Mahaveer",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/03/11/Project-Photo-32-Mahaveer-Palatium-Bangalore-5082065_1200_1600_310_462.jpeg"
"79431161","750-Sq-ft-Residential-Plot-FOR-Sale-New-International-Airport-Road-in-Bangalore&id=4d423739343331313631"," Residential Plot for New Property in Imperial Urban Space at Kempegowda International Airport Road","2025-09-09T17:35:47.000Z",,"908242","1211","₹","Imperial Urban Space by Hyland Properties, bangalore in association with 'Central / State Government & Public Sector Housing Co-operative Society Ltd' ( CSPSHCS) has come up with a 25 acres project in National Highway 207 (STRR Road), near Cargo Road, behind Bangalore International Airport (Terminal 2) & has been making headlines in the new project launches updates for Bangalore for the various meticulously residential options it provides. It is conveniently priced  and is ideally located to ensure comfort and higher living quotient for its residents.","Situated ideally in Imperial Urban Space, this plot offers a prime position.",,"19202|Sri Venkateshwara Central School","19202|Sri Venkateshwara College of Engineering Bangalore",,,,,,,,,"13.19804831,77.6836882","Mallesh Kumar",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/05/15/Project-Photo-8-Imperial-Urban-Space-Bangalore-5431823_900_1600_310_462.jpg"
"81112219","1200-Sq-ft-Residential-Plot-FOR-Sale-Bommasandra-in-Bangalore&id=4d423831313132323139"," Residential Plot for New Property in AP Township at Bommasandra","2025-08-28T07:12:58.000Z",,"8600000","7167","₹","AP township Bangalore with wonderful experience until registration. Project was welldesigned with all needs of best living atmosphere and reasonably priced compared to other projects. Developers meeting high standard quality work in all areas and it was truly impressive. All project staff are very supportive and stand with you for smooth registration process.","Grab the chance to possess your chosen plot in Bommasandra, priced at ₹86 Lac. The plot comes with dimensions of 30 X 40 and covers 1200.0. This residential plot can be utilized once you pay the booking amount of Rs 200000. Situated ideally in Ap Township, this plot offers a prime position. This residential land offers the owner the opportunity to construct 3 of floors. garden/park, main road views enhance the plot's value. The residential land is in close proximity to landmarks like close to wipro. Prime 12m road plot.",,"19201|Kamal Tower","19201|HCL Technologies Ltd.","19202|Bangalore College of Engineering and Technology Bangalore","19202|Brainy Stars International School","19203|Sunray Multispeciality Hospital","19203|Athreya Hospital","19210|Bommasandra Metro Station","19210|Bommasandra Metro Station",,"close to wipro","12.80542192,77.69054698","AP TOWNSHIP",,,"12850",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Aug/28/Photo_h180_w240/81112219_9_hatsAppImage20250826at13.38.529342c850_180_240.jpg"
"79048287","2400-Sq-ft-Residential-Plot-FOR-Sale-Huskur-in-Bangalore&id=4d423739303438323837"," Residential Plot for New Property in Diamond Blossoms at Huskur","2025-09-08T17:35:51.000Z",,"23997600","9999","₹","Nestled in a vibrant social fabric, world-class educational institutions, and top IT companies, Diamond Blossoms offers a distinctive and nuanced lifestyle upgrade to connoisseurs of good living.","The plot can be purchased at a viable booking amount of Rs 500000. This plot enjoys a strategic location within Diamond Blossoms.",,"19201|Safexpress Logistics Park- Nelamangala","19202|Chaitanya Techno School & College","19203|Sree Maruthi Hospital","19210|Huskur Gate Bus Stop",,,,,,,"13.06234418,77.7538934","J J Diamond Developers","J J Diamond Developers LLP ",,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/04/21/Project-Photo-28-Diamond-Blossoms-Bangalore-5392479_812_1160_310_462.jpeg"
"80792533","2400-Sq-ft-Residential-Plot-FOR-Sale-Nelamangala-Road-in-Bangalore&id=4d423830373932353333"," Residential Plot for New Property in KNS Samooha Phase I at Nelamangala Road","2025-09-09T17:35:47.000Z",,"12600000","5250","₹","Situated in the lush, verdant landscapes of urban Bengaluru, KNS Samooha is an exquisite space that epitomizes an untouched nature. Nestled amidst breathtaking surroundings, it is enveloped by shimmering lakes and flourishing greenery, creating a harmonious coexistence between nature and modern living.","Pay a booking amount of Rs 100000 and you are all set to purchse this residential plot. Situated ideally in Kns Samooha Phase I, this plot offers a prime position.",,,,,,,,,,,,"13.00938098,77.42515461","KNS Group","KNS Group",,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/07/10/Project-Photo-4-KNS-Samooha-Bangalore-5429087_382_800_310_462.jpg"
"72676947","1200-Sq-ft-Residential-Plot-FOR-Sale-Devanahalli-in-Bangalore&id=4d423732363736393437"," Residential Plot for New Property in Northern Boulevard at Devanahalli","2024-05-06T13:30:32.000Z",,"5700000","4750","₹","Introducing Northern Boulevard â?? a hidden gem in the heart of North Bangalore, near Devanahalli airport. This eco-luxury villa plotted development spans 18 acres, featuring 269 plots amidst seven lush pathways. Escape the city chaos to embrace tranquility and sustainable living. With 20+ amenities and strategic connectivity, Northern Boulevard is more than a property; it's an investment in a greener, harmonious lifestyle.","This plot is well-located within Northern Boulevard.",,"19201|Drogher's Hub Supermarket","19201|Kiadb It Park","19202|Akash International Residential Public School","19202|Adarsha Institute of Technology Bangalore","19203|Ramaiah Leena Hospital","19203|Akash Medical College Hospital","19209|Kempegowda International Airport Bengaluru","19210|Akash Hospital Road","19210|Devanahalli - Railway Station",,"13.24032816,77.71506051","Kushal","Northern Boulevard",,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/05/06/Project-Photo-5-Northern-Boulevard-Bangalore-5420613_600_800_310_462.jpg"
"80705161","2750-Sq-ft-Residential-Plot-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423830373035313631"," Residential Plot for New Property in Nanda Prakruthi at Kanakapura Road","2025-08-30T17:35:50.000Z",,"15125000","5500","₹","Nanda Estates, One of the Bangalore's Upstanding Builders and Developers, Has come up with a new Plot's project @ Nanda Prakruthi off Kanakapura Road. At Nanda Prakruthi you can experience the Villa Enclave with Tranquillity, connectivity and Greenery. Nanda Prakruthi has been designed to be a self-sufficient place for living which will offer amenities that exhibit a grand Lifestyle, with a green space that fills Joy in your Life. Get back to Home with an Outdoor Space, A space that fills up with Happiness, A space where you can recharge, Refresh and Rebalance Yourself. It Is Close to Educational Institutes, Hospitals and Many Relaxation Centres.","You can buy this plot with a booking amount of Rs 100000. Situated ideally in Nanda Prakruthi, this plot offers a prime position. The plot land has 3 floors allowed for construction. Situated along 12m road.",,"19202|GR Pre University College","19202|School of Engineering and Technology Jain University Bangalore","19210|NICE Road Junction",,,,,,,,"12.84819789,77.52157499","Roopa",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2021/01/07/Project-Photo-2-Nanda-Prakruthi-Bangalore-5038531_600_800_310_462.jpg"
"73301743","1200-Sq-ft-Residential-Plot-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423733333031373433"," Residential Plot for New Property in SRI SRI TAPOVAN 2 at Kanakapura Road","2024-06-13T11:27:11.000Z",,"4800000","4000","₹","Sri Sri Tapovan 2 Residential Villa Plots/Sites of 30X40, 30X50, 40’X60?, and higher dimensions. With water, electricity, and sewage lines. So you can design and construct your dream home the way you’ve always envisioned it, without the hassles of running around to set your home up.In addition to that, we offer built to suit solutions as well. The best place for investors for Investments & an awesome place for those who wish to construct in a rich green area that has 24/7 security and loaded Amenities. And these BMRDA APPROVED plots.","This plot enjoys a strategic location within Sri Sri Tapovan 2.",,"19202|School of Engineering and Technology Jain University Bangalore","19202|GR Pre University College","19210|NICE Road Junction",,,,,,,,"12.84819789,77.52157499","MAXCONCORDE DEVELOPERS","Maxconcorde Developers",,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/06/13/Project-Photo-3-SRI-SRI-TAPOVAN-2-Bangalore-5421615_719_1600_310_462.jpg"
"79185833","1350-Sq-ft-Residential-Plot-FOR-Sale-Doddaballapur-in-Bangalore&id=4d423739313835383333"," Residential Plot for New Property in KNS Candrill at Doddaballapura","2025-09-09T17:35:47.000Z",,"6199000","4592","₹","Situated in Doddaballapur, KNS Candrill offers more than just a home-it offers a connection to a locale steeped in history and brimming with potential. Doddaballapur, with its rich tapestry of myths, legends, and historical significance, is older than Bengaluru itself. This town, once central to stories of cultural and historical significance, is now emerging as a key player in Bengaluru's future, blending tradition with modernity.","Situated ideally in Kns Candrill, this plot offers a prime position.",,"19201|Begali Garden","19201|More Supermarket - Doddaballapur","19202|M.s.v Public School","19202|Lavanya Composite PU College","19203|Jain Clinic","19203|Columbia Asia Hospital - Doddaballapur","19210|Doddaballapura Old Bus Stand Bus Stop","19210|Doddaballapur Railway Station",,,"13.290431,77.539701","KNS CANDRILL",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/11/28/Project-Photo-14-KNS-Candrill-Bangalore-5423821_900_1600_310_462.jpg"
