state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,households,house_connection_by_pws,ispws,gen_current_pop,sc_current_pop,st_current_pop,total_current_pop,water_quality_contamination,update_date
Karnataka,"Bengaluru Urban",Anekal,Samandur,Gudnahalli,Gudnahalli,0000373267,200,62,Yes,760,370,50,1180,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Geritiganabele,Geritiganabele,0000373269,226,70,Yes,738,415,1,1154,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,"S Thammasandra (b)","S. Thimmasandra",0000373272,84,0,Yes,289,99,10,398,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Gandhinagara,"S. Gandhinagara",0000373273,79,0,Yes,281,99,4,384,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Bestamanahalli,Bestamanahalli,0000373279,200,134,Yes,645,254,10,909,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Rachamanahalli,Rachamanahalli,0000373280,179,176,Yes,400,429,0,829,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Soluru,Soluru,0000373307,110,53,Yes,158,468,5,631,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Shettihalli,Shettihalli,0000373314,233,0,Yes,579,429,8,1016,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Chikkanahalli,Chikkanahalli,0000373319,76,0,Yes,252,88,4,344,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Basavanapura,Basavanapura,0000373322,81,0,Yes,87,270,10,367,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Laxmipura,Laxmipura,0000373323,104,0,Yes,253,265,0,518,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Tammanayakanahalli,Muthuru,0000373324,82,0,Yes,183,188,10,381,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Indlawadipura,Indlawadipura,0000373327,90,15,Yes,179,213,104,496,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Indlawadi,Indlawadi,0000373330,607,302,Yes,2579,579,150,3308,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Doddahagde,Doddahagde,0000373341,244,62,Yes,452,541,36,1029,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Byagadadenahalli,Byagadadenahalli,0000373346,303,108,Yes,1225,370,80,1675,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,"Nosenur Gollahalli","Nosenur Gollahalli",0000373353,123,0,Yes,446,23,126,595,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Vaderamanchenahalli,Vaderamanchenahalli,0000373362,864,305,Yes,2338,423,229,2990,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Kasavanakunte,Kasavanakunte,0000373366,48,0,Yes,119,70,15,204,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Konnasandra,Konnasandra,0000373369,159,41,Yes,519,218,10,747,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Bommandahalli,Bommandahalli,0000373370,199,0,Yes,619,234,16,869,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,"J. Bingipura","J. Bingipura",0000373371,15,2,Yes,74,4,4,82,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Mahanthalingapura,Mahanthalingapura,0000373373,233,95,Yes,415,584,100,1099,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Maragondanahalli,Maragondanahalli,0000373392,461,215,Yes,2243,171,0,2414,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Yarandahalli,Yarandahalli,0000373399,1634,586,Yes,5312,1062,226,6600,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Hinnakki,Hinnakki,0000373401,346,151,Yes,1053,433,105,1591,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Mantapa,Mantapa,0000373406,220,107,Yes,488,453,9,950,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Kaleshwari,Kaleswari,0000373409,18,0,Yes,36,34,2,72,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Ramasandra,Ramasandra,0000373411,77,0,Yes,137,237,0,374,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Hullakasavanahalli,Hullakasavanahalli,0000373416,40,0,Yes,67,172,0,239,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,"Chinnaiahna Palya",Chinnaiahanapalya,0000373424,113,0,Yes,178,296,10,484,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Kasaraguppe,Kasaraguppe,0000373438,31,0,Yes,76,21,0,97,NA,2024-06-07
