country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","12-11-2025 02:00:00",14.465052,78.824187,SO2,13,19,15
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","12-11-2025 02:00:00",14.465052,78.824187,OZONE,17,19,18
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","12-11-2025 02:00:00",16.9872867,81.7363176,PM10,105,167,132
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","12-11-2025 02:00:00",16.9872867,81.7363176,NH3,3,5,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-11-2025 02:00:00",13.615387,79.409230,NO2,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-11-2025 02:00:00",13.615387,79.409230,SO2,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-11-2025 02:00:00",13.615387,79.409230,CO,16,33,18
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-11-2025 02:00:00",13.615387,79.409230,OZONE,22,23,22
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","12-11-2025 02:00:00",16.536107,80.594233,NO2,18,21,19
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","12-11-2025 02:00:00",16.536107,80.594233,CO,33,41,33
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","12-11-2025 02:00:00",16.509717,80.612222,NO2,45,102,68
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","12-11-2025 02:00:00",16.509717,80.612222,CO,30,37,34
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","12-11-2025 02:00:00",16.554731,80.649110,OZONE,66,148,92
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-11-2025 02:00:00",17.72,83.3,PM10,122,322,150
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","12-11-2025 02:00:00",27.103358,93.679645,PM10,28,104,66
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","12-11-2025 02:00:00",27.103358,93.679645,NH3,1,1,1
