state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore North",Adakamaranahalli,Adakamaranahalli,Adakamaranahalli,0000373663,0005235401,5179686,"Deep Tubewell","Ground Water","Village limit","Revival of PWS",2012-2013,6.00000,5.99042,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Adakamaranahalli,Harokyathanahalli,Harokyathanahalli,0000373666,0005235402,5179687,"Deep Tubewell","Ground Water","New Extension","Revival of MWS",2012-2013,6.10000,6.30939,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Shrikantapura,Totadaguddadahalli,Totadaguddadahalli,0000373749,0005235415,5179704,"Deep Tubewell","Ground Water","Village limit","Revival of PWS",2012-2013,5.90000,5.16991,"07 Jan 2013","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Alur,Kuduragere,"Kuduragere J H C",0000373699,0005235419,5179708,"Deep Tubewell","Ground Water",Byraveswaranagara,"Revival of MWS",2012-2013,6.30000,6.29103,"07 Jan 2013","10 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Alur,Heggadedevanapura,Heggadedevanapura,0000373697,0005235424,5179713,"Deep Tubewell","Ground Water","Heggadadevanapura Colony","Revival of MWS",2012-2013,4.40000,5.50330,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Kittanahalli,Kittenahalli,0000373722,0005235433,5179726,"Deep Tubewell","Ground Water","Village limit","Revival of PWS",2012-2013,5.70000,4.08157,"07 Jan 2013","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Mallasandra,Mallasandra,0000373725,0005235435,5179728,"Deep Tubewell","Ground Water","Village limit","Revival of PWS",2012-2013,5.40000,3.64665,"07 Jan 2013","15 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Siddanahosahalli,Siddanahosahalli,Siddanahosahalli,0000373707,0005235441,5179734,"Deep Tubewell","Ground Water","Village limit","Revival of PWS",2012-2013,5.90000,4.87193,"07 Jan 2013","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Vaderahalli,"Vaderahalli J H C",0000373684,0005235444,5179737,"Deep Tubewell","Ground Water","Village limit","Revival of PWS",2012-2013,6.10000,6.08817,"07 Jan 2013","20 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Pillahalli,"Pillalli J H C",0000373682,0005235446,5179739,"Deep Tubewell","Ground Water","Colony limit","Revival of PWS",2012-2013,5.90000,5.88041,"07 Jan 2013","20 Jan 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Honnasandra,Honnasandra,0001622912,0005235450,5179743,"Deep Tubewell","Ground Water","Honnasandra Cross","Revival of MWS",2012-2013,6.00000,5.99377,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Huchnapalya,Huchnapalya,0000373689,0005235463,5179756,"Deep Tubewell","Ground Water",Muthurayanagara,"Revival of MWS",2012-2013,5.90000,5.89394,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Gopalapura,Gopalapura,Gopalapura,0000373769,0000420214,124117,"Deep Tubewell","Ground Water",NA,PWSS,2006-2007,4.00000,1.97000,"08 Nov 2006","31 Aug 2007",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Adakamaranahalli,Makali,Makali,0000373665,0000779446,125115,"Deep Tubewell","Ground Water",NA,"Village Limits",1998-1999,7.00000,7.27000,"10 Sep 1998","14 Feb 2001",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Siddanahosahalli,Dombarahalli,Dombarahalli,0000373708,0000014027,125625,"Deep Tubewell","Ground Water",dombarahalli,Dombarahalli,2005-2006,15.00000,15.00000,"01 Jan 2005","01 Jan 2006",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Siddanahosahalli,Siddanahosahalli,Siddanahosahalli,0000373707,0000545958,125996,"Deep Tubewell","Ground Water",NA,villagelimit,2006-2007,13.00000,6.81000,"10 Jul 2007","07 Feb 2008",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Gopalapura,Kukkanahalli,Kukkanahalli,0000373771,0000556556,126485,"Deep Tubewell","Ground Water",NA,"Revival of MWS",2007-2008,4.70000,4.68000,"20 Mar 2008","25 Jul 2008",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Sondekoppa,Pitaganapalya,Pitayanapalya,0000373728,0004868037,4795015,"Deep Tubewell","Ground Water","Palya Road","Revival of MWS Scheme",2012-2013,5.00000,4.96240,"10 Sep 2012","28 Feb 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Shrikantapura,Shrikantapura,Shrikantapur,0001725167,0004869744,4796845,"Deep Tubewell","Ground Water","Towards Main Road","Revival of PWS Scheme",2012-2013,6.00000,5.99997,"15 Sep 2012","06 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Torenagasandra,Torenagasandra,0000373693,0004869912,4797010,"Deep Tubewell","Ground Water","Village Limit","Revival of MWS Scheme",2012-2013,6.00000,5.99899,"20 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Rampalya,Rampalya,0001622915,0004869942,4797034,"Deep Tubewell","Ground Water","Village Limit","Revival of MWS Scheme",2012-2013,6.00000,6.01963,"20 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Somashettihalli,Somashettihally,Somashettihally,0000373654,0004872179,4799056,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2012-2013,5.00000,4.99598,"25 Sep 2012","03 Jan 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Huskur,Huskur,0001622918,0000548772,126953,"Deep Tubewell","Ground Water",NA,"PWS Augmentation",2006-2007,3.20000,3.10000,"12 Apr 2007","12 Nov 2007",2024-06-07
