state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore South",Agara,Agara,Agara,0000374137,0004933474,4854350,"Deep Tubewell","Ground Water",GUPS,"School Water Supply",2012-2013,1.00000,0.99586,"10 Sep 2012","28 Feb 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","Dodda Thogur",Homadevanahalli,Homadevanahalli,0000373972,0004933482,4854358,"Deep Tubewell","Ground Water",GUPS,"School Water Supply",2012-2013,1.00000,0.00000,"10 Sep 2012","15 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kumbalagodu,Gerupalya,Gerupalya,0000374186,0004956278,4879879,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2012-2013,5.00000,5.00298,"15 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chunchanakuppe,Punagamaranahalli,Punagamaranahalli,0000374431,0005221925,5165331,"Deep Tubewell","Ground Water","School Road","Revival of MWS",2012-2013,3.00000,4.26754,"16 Jan 2013","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chunchanakuppe,Lakkaiahnapalya,Lakkaiahanapalya,0000374441,0005221933,5165339,"Deep Tubewell","Ground Water","Colony Road","Revival of MWS",2012-2013,5.00000,0.00000,"16 Jan 2013","25 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chunchanakuppe,Lakkaiahnapalya,Lakkaiahanapalya,0000374441,0005221936,5165342,"Deep Tubewell","Ground Water","Colony Road","Revival of MWS",2012-2013,5.00000,0.00000,"16 Jan 2013","25 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chunchanakuppe,Sheshigiripura,Sheshigiripura,0000374451,0007150200,5165354,"Deep Tubewell","Ground Water","Village limit","G BESCOM Revival of MWS Scheme",2015-2016,0.15000,0.00000,"25 Oct 2015","31 Mar 2016",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Ramohalli,Challaghatta,Challaghatta,0000374189,0005221969,5165375,"Deep Tubewell","Ground Water","Village limit","Revival of MWS",2012-2013,6.50000,6.48000,"07 Jan 2013","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chikkanahalli,Chikkanahalli,Chikkanahalli,0000374222,0005225284,5168770,"Deep Tubewell","Ground Water","Village limit","Revival of MWS",2012-2013,6.50000,6.48698,"07 Jan 2013","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","K. Golahalli",Thittahalli,Thittahalli,0000374148,0005225317,5168803,"Deep Tubewell","Ground Water","Village limit","Revival of MWS",2012-2013,3.50000,3.29985,"07 Jan 2013","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Channenahalli,Kempegowdanagara,Kempegowdanagara,0000374383,0005227894,5171782,"Deep Tubewell","Ground Water",Kuvempunagara,"Revival of MWS",2012-2013,4.30000,4.29500,"07 Jan 2013","15 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Tavarekere,Basavanapalya,Basavanapalya,0000374384,0005227896,5171784,"Deep Tubewell","Ground Water","Village limit","Revival of MWS",2012-2013,3.75000,3.75000,"07 Jan 2013","20 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Somanahalli,Somanahalli,Somanahalli,0000374089,0006849533,5171791,"Deep Tubewell","Ground Water","main road","G TFC 20.10.2014 Errection of Pumpset with Pipe line and Energisation to revival of MWS in SOMANAHALLI Habitation",2014-2015,3.00000,2.53115,"10 Dec 2014","26 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Somanahalli,Vaddarapalya,Gadipalya,0000374081,0005227913,5171801,"Deep Tubewell","Ground Water","Colony limit","Revival of MWS",2012-2013,10.50000,9.99000,"07 Jan 2013","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kumbalagodu,Kumbalagodu,Kumbalagodu,0000374184,0005227924,5171812,"Deep Tubewell","Ground Water","Ist Block","Revival of PWS",2012-2013,6.50000,6.49000,"10 Jan 2013","15 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kumbalagodu,Kanaminake,"Kanaminake Colony",0000374178,0005227928,5171816,"Deep Tubewell","Ground Water","Colony limit","Revival of PWS",2012-2013,6.50000,6.50860,"07 Jan 2013","25 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Cholanayakanahalli,Bychaguppe,Bychaguppe,0000374406,0005235049,5179360,"Deep Tubewell","Ground Water","Village limit","Drilling of BW",2012-2013,1.50000,0.00000,"16 Jan 2013","28 Mar 2014",2024-06-07
