Sl. No.,Corridor,State,Region/ Node,Funds Released (In Rs. crore)
1,Delhi Mumbai Industrial Corridor (DMIC),Gujarat,"Dholera Special Investment Region (DSIR), 22.5 sq. km, Gujarat",2784.83
2,Delhi Mumbai Industrial Corridor (DMIC),Maharashtra,"Shendra Bidkin Industrial Area (SBIA), 18.55 sq. km, Maharashtra",3000
3,Delhi Mumbai Industrial Corridor (DMIC),Maharashtra,"Dighi Port Industrial Area, 5,935 acres, Maharashtra",0
4,Chennai Bengaluru Industrial Corridor (CBIC),Andhra Pradesh,"Krishnapatnam Industrial Area, 2500 acres, Andhra Pradesh",522.1
5,Chennai Bengaluru Industrial Corridor (CBIC),Karnataka,"Tumakuru Industrial Area, 1736 acres, Karnataka",586.74
6,Chennai Bengaluru Industrial Corridor (CBIC),Tamil Nadu,"Ponneri Industrial Area,4000 acres, Tamil Nadu",2.5
7,Extension of CBIC to Kochi via Coimbatore,Kerala,"Palakkad Industrial Area, 1878 acres, Kerala",2.5
8,Amritsar Kolkata Industrial Corridor (AKIC),West Bengal,"Raghunathpur Industrial Park, 2483 acres, West Bengal",0
9,Bengaluru Mumbai Industrial Corridor (BMIC),Karnataka,"Dharwad Node, 6400 acres, Karnataka",0
10,Bengaluru Mumbai Industrial Corridor (BMIC),Maharashtra,"Satara Node, 11,366 acres, Maharashtra",0
11,Vizag Chennai Industrial Corridor (VCIC),Andhra Pradesh,"Koparthy Industrial Area, 5760 acres, Andhra Pradesh",0
12,Vizag Chennai Industrial Corridor (VCIC),Andhra Pradesh,"Vishakhapatnam Industrial Area, 1143 acres, Andhra Pradesh",NA
13,Vizag Chennai Industrial Corridor (VCIC),Andhra Pradesh,"Chitoor Industrial Area, 8967 acres, Andhra Pradesh",NA
14,Odisha Economic Corridor (OEC),Odisha,"Paradip - Kendrapada - Dhamra - Subarnarekha, Odisha and Gopalpur - Bhubaneshwar - Kalinganagar, Odisha, 11366 acres",0
