Sl. No.,Title,Sector,Milestone,Project Cost (In Rs. Crore),Progress in %
1,Providing and laying of 1016mm dia OD MS pipeline from GKVK Reservoir to HBR Reservoir,Water Supply,Work Completed,46.13,100
2,Slum Development component & Implementation of Water Supply facilities to balance Slums (91Nos) in Core area of Bangalore,Water Supply,Work Completed,15.17,100
3,Byatarayanapura work (110 villages) Providing Water Supply facilities to Byatarayanapura zone area under 110 villages of BBMP,Water Supply,Ongoing,177.22,99
4,Construction of Pump House at Koramangala Sports Complex and Laying of rising main from Sports Complex to K & C Valley Treatment Plant - ISPS with allied works,Sewerage and Septage Management,Work Completed,38.61,100
5,Work of Providing Sewerage System to extended areas of erstwhile R.R Nagar & Kengeri TMC areas under AMRUT,Sewerage and Septage Management,Work Completed,59.94,100
6,Work of Providing Trunk Sewer from Ranganatha Colony to V-Valley Treatment Plant.,Sewerage and Septage Management,Work Completed,52.45,100
7,Construction of 20MLD Waste Water Treatment Plant at K R Puram,Sewerage and Septage Management,Work Completed,28.39,100
8,Construction of 10MLD Capacity Sewage Treatment Plant at Hulimavu,Sewerage and Septage Management,Work Completed,20.23,100
9,Construction of 5MLD Capacity Sewage Treatment Plant at Chikka Begur,Sewerage and Septage Management,Work Completed,13.89,100
10,Construction of 5MLD Capacity Sewage Treatment Plant at Sarakki,Sewerage and Septage Management,Work Completed,14.49,100
11,Construction of 35 MLD Capacity Sewage Treatment Plant at Agara,Sewerage and Septage Management,Work Completed,53.63,100
12,Environmental Action Plan - (Package-S4A),Sewerage and Septage Management,Work Completed,103.32,100
13,S4C Environmental Action Plan,Sewerage and Septage Management,Work Completed,91.45,100
14,S4D Environmental Action Plan,Sewerage and Septage Management,Work Completed,92.34,100
15,S2D(a) Kormanga sports complex ISPS to K&C valley STP,Sewerage and Septage Management,Work Completed,65.64,100
16,S4B Replacement & Rehabilitation of existing Higher dia Sewers under Environment Action Plan-C,Sewerage and Septage Management,Ongoing,99.29,98
17,"Development of Green Spaces and Parks to Nehru Block Park, BDA Officers Quarters, Ward-115, Vannarpet, B & C Block, East Zone.",Parks,Work Completed,2.06,100
18,"Development of Green Spaces and Parks to Poorna Pragyana Layout 29th Main Road, 37 and 38 cross road Uttarahalli Park, Ward-184, Uttarahalli, Bommanahalli Zone.",Parks,Work Completed,2.04,100
19,"Development of Green Spaces and Parks to Andrahalli Lake Park, Ward-40, Doddabidarekallu, R.R.Nagar Zone.",Parks,Work Completed,2.4,100
20,"Development of Green Spaces and Parks to Vin Field Layout Main Road Park, Ward-5 Jakkur, Yelahanka Zone",Parks,Work Completed,2.24,100
21,"Development of Green Spaces and Parks to Bhirathi Park, Ward-54 Hoodi, Mahadevpura Zone.",Parks,Work Completed,1.59,100
22,"Development of Green Spaces and Parks to Mahadev Banakar Park, Ward No. 108, West Zone",Parks,Work Completed,1.28,100
23,GunduThopu Park-Ward no 54,Parks,Work Completed,0.95,100
24,"Development of Green Spaces and Parks to Mestri Layout park, Koramangala Ward No.151, South Zone",Parks,Work Completed,2.35,100
25,"Development of Green Spaces and Parks to Kanakadasa park, Govindarajnagar- Ward No.104, West Zone",Parks,Work Completed,2.5,100
26,"Development of Green Spaces and Parks to Mallasandra Gutte Park, Ward-13 Mallasandra, Dasarahalli Zone.",Parks,Ongoing,2.35,16
Total,Total,Total,Total,991.95,2513
