ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2014-15,29,Karnataka,2921,BENGALURU RURAL,292103,DEVANAHALLI,1,General,81,57,148,92,92,78,70,58,54,155,194,178,19,11,148,86,74,96,74,68,48,128,159,163,19,12
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,DODDABALLAPURA,1,General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-15,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,1,General,14,15,154,137,138,119,122,98,112,226,341,374,24,10,110,104,86,90,106,75,95,192,294,363,6,9
2014-15,29,Karnataka,2921,BENGALURU RURAL,292104,HOSAKOTE,1,General,174,161,128,105,93,67,74,62,53,83,119,121,67,29,112,94,96,61,64,53,41,91,113,102,27,7
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,1,General,67,73,88,93,63,49,71,65,43,153,161,137,5,3,71,69,59,49,51,43,49,133,138,117,4,1
2014-15,29,Karnataka,2921,BENGALURU RURAL,292103,DEVANAHALLI,2,SC,147,142,486,437,460,465,450,422,395,418,433,425,93,45,444,415,441,424,433,363,332,411,389,428,117,81
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,DODDABALLAPURA,2,SC,0,0,0,0,0,0,0,0,0,0,0,0,34,19,0,0,0,0,0,0,0,0,0,0,14,22
2014-15,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,2,SC,53,48,546,551,506,556,521,477,482,585,507,479,183,128,504,522,484,509,436,489,521,511,474,455,201,106
2014-15,29,Karnataka,2921,BENGALURU RURAL,292104,HOSAKOTE,2,SC,306,274,557,522,506,551,528,468,494,473,529,510,195,167,511,510,536,482,480,505,481,561,508,465,321,250
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,2,SC,126,123,399,417,382,424,361,375,374,377,357,346,129,104,386,366,379,347,357,348,394,391,346,340,103,61
2014-15,29,Karnataka,2921,BENGALURU RURAL,292103,DEVANAHALLI,3,ST,74,64,177,195,178,184,161,160,174,178,202,159,36,25,201,160,158,164,166,138,136,184,171,172,34,44
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,DODDABALLAPURA,3,ST,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,3
2014-15,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,3,ST,24,12,134,123,112,112,102,111,126,120,144,103,36,35,127,105,120,117,109,108,82,110,116,93,40,26
2014-15,29,Karnataka,2921,BENGALURU RURAL,292104,HOSAKOTE,3,ST,75,79,107,112,106,131,93,100,102,100,84,91,28,27,111,87,100,89,103,97,84,86,95,83,51,62
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,3,ST,33,77,102,84,95,90,73,73,76,70,73,61,12,6,84,79,75,68,63,70,78,53,56,74,10,11
2014-15,29,Karnataka,2921,BENGALURU RURAL,292103,DEVANAHALLI,4,OBC,671,591,1104,1079,1026,988,1011,924,904,824,851,798,170,93,984,971,944,932,930,907,832,808,788,784,288,226
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,DODDABALLAPURA,4,OBC,0,0,0,0,0,0,0,0,0,0,0,0,68,65,0,0,0,0,0,0,0,0,0,0,33,41
2014-15,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,4,OBC,274,273,1597,1480,1376,1418,1407,1403,1378,1380,1193,1149,836,701,1432,1427,1369,1319,1306,1348,1359,1297,1244,1185,906,812
2014-15,29,Karnataka,2921,BENGALURU RURAL,292104,HOSAKOTE,4,OBC,1669,1264,1526,1572,1531,1477,1502,1344,1389,1381,1297,1205,446,330,1477,1445,1312,1277,1327,1271,1302,1236,1248,1201,731,576
2014-15,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,4,OBC,663,483,1134,1114,1068,1076,1033,1070,992,941,914,837,297,194,1028,1039,1074,948,1005,971,993,933,898,862,197,108
