ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,,3,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292802,NORTH1,1,General,3044,2800,5157,4959,4792,4700,4421,4440,4058,4144,4603,4357,756,702,4701,4219,4094,4112,3938,3798,3593,3693,3988,3822,1123,912
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292805,NORTH2,1,General,2862,2365,2697,2506,2357,2317,2370,2483,2339,2574,2692,2454,1885,1583,2566,2334,2343,2352,2356,2361,2215,2339,2337,2415,1161,1172
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292806,NORTH3,1,General,1605,1509,3478,3430,3621,3222,3385,2890,2894,3086,2984,2777,876,690,3141,3152,3061,3217,3065,2536,2665,2668,2546,2324,1224,1290
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,NORTH4,1,General,1803,1530,4301,3998,3765,3695,3466,3128,3046,3038,2649,2605,1174,507,3929,3578,3338,3328,3180,2837,2760,2704,2408,2297,1080,455
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,,1,General,17,17,6,4,2,4,1,0,0,0,0,0,0,0,9,4,2,1,1,0,0,0,0,0,0,0
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292802,NORTH1,2,SC,665,566,1579,1387,1313,1343,1248,1236,1242,1199,1080,1103,250,187,1568,1378,1301,1202,1151,1202,1242,1169,1124,1088,307,230
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292805,NORTH2,2,SC,920,753,1075,1101,977,1106,1015,1051,993,1072,1137,1029,613,415,1048,1032,1066,1014,970,972,989,1060,1036,1097,579,549
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292806,NORTH3,2,SC,457,478,1014,987,1014,965,982,1011,1039,1383,1395,1336,372,338,1133,1005,938,970,986,1043,1134,1059,999,972,253,244
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,NORTH4,2,SC,350,298,1516,1371,1243,1198,1111,1092,1019,934,975,915,675,386,1406,1271,1180,1155,1092,981,991,926,827,998,595,342
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,,2,SC,4,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292802,NORTH1,3,ST,143,140,352,311,284,297,258,241,260,265,223,189,92,79,301,287,253,243,249,233,229,241,254,196,68,96
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292805,NORTH2,3,ST,154,146,172,166,131,146,122,144,152,123,134,115,70,55,150,130,136,139,135,121,116,137,120,120,137,70
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292806,NORTH3,3,ST,32,19,62,111,48,47,72,104,36,68,99,112,93,10,122,52,49,64,43,47,38,45,37,38,34,10
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,NORTH4,3,ST,83,83,361,341,286,285,276,199,211,225,258,214,212,144,279,279,278,257,234,216,265,199,188,169,198,141
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292802,NORTH1,4,OBC,3778,3214,5122,4787,4551,4547,4342,4029,3972,3743,3147,2864,778,773,4524,4168,4028,4050,4000,3816,3830,3629,3078,2872,1176,1188
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292805,NORTH2,4,OBC,2101,1772,2029,2053,1870,1791,1758,1743,1769,1634,1553,1457,1220,1121,1892,1866,1790,1809,1778,1816,1712,1843,1970,1755,1827,1587
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292806,NORTH3,4,OBC,1562,1456,3922,3465,3414,3475,3500,3133,3038,3509,3070,2725,363,351,3844,3381,3610,3482,3388,3116,3145,3021,2666,2461,316,223
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,NORTH4,4,OBC,1429,1361,3798,3423,3341,3320,3271,2869,2802,2346,2138,1976,1060,957,3575,3224,3233,2985,2946,2703,2566,2353,1951,1872,1009,922
2014-15,29,Karnataka,2928,BENGALURU U NORTH,292807,,4,OBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
