ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292004,ANEKAL,1,General,1593,1357,2470,2213,2080,1891,1818,1660,1411,1690,1600,1402,85,81,2263,2024,1992,1834,1677,1459,1357,1548,1541,1440,60,64
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292001,SOUTH1,1,General,3380,3132,5916,5205,4841,4702,4774,4489,4426,4819,4432,4224,54,68,5351,4496,4424,4173,4153,3938,3944,4080,4032,3880,33,21
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292008,SOUTH2,1,General,1672,1538,2131,2079,1892,1904,1905,1790,1865,2270,2245,2310,161,115,1865,1798,1650,1746,1654,1795,1631,2162,2221,2202,134,128
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292009,SOUTH3,1,General,6109,6797,10105,9328,8759,8685,8241,7669,7460,7823,7248,6730,1575,1719,9885,9169,8832,8471,8522,7725,7472,7903,7095,6647,1740,1803
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292003,SOUTH4,1,General,2494,2149,5660,5216,4842,4164,3902,3648,3347,3223,2452,2231,1150,1138,5272,4604,4418,3992,3592,3298,3080,2757,2373,2095,1114,1124
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292004,ANEKAL,2,SC,521,483,1199,1141,983,1003,990,978,930,917,1006,922,132,80,1205,1067,1030,1015,934,878,875,852,811,822,34,39
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292001,SOUTH1,2,SC,646,568,1508,1333,1184,1118,1059,1048,1075,1050,1093,980,12,11,1388,1191,1144,1055,985,949,938,1023,1037,984,127,90
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292008,SOUTH2,2,SC,471,441,1004,1036,937,964,991,952,889,933,1022,872,79,48,913,879,924,932,918,894,900,903,894,869,73,92
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292009,SOUTH3,2,SC,482,440,1434,1358,1298,1241,1264,1148,1222,1153,1093,1017,96,127,1499,1410,1356,1321,1358,1274,1293,1233,1108,1067,106,144
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292003,SOUTH4,2,SC,767,656,2223,1934,1809,1809,1676,1577,1600,1639,1585,1345,59,30,2048,1906,1787,1731,1603,1561,1501,1608,1497,1247,47,42
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292004,ANEKAL,3,ST,60,57,209,196,160,169,146,152,114,83,92,91,17,5,225,174,161,156,161,128,99,85,97,72,9,1
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292001,SOUTH1,3,ST,174,166,314,328,267,274,288,237,233,338,317,299,5,7,312,315,260,224,225,210,276,266,301,249,13,11
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292008,SOUTH2,3,ST,78,75,117,104,106,110,112,118,110,101,107,109,18,12,126,110,100,89,81,122,108,125,129,116,40,19
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292009,SOUTH3,3,ST,121,119,280,272,262,237,197,192,206,177,159,154,12,25,261,274,306,227,206,213,175,205,231,157,25,30
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292003,SOUTH4,3,ST,114,85,363,328,312,302,238,232,217,198,180,133,3,1,312,269,275,276,210,197,160,169,153,133,6,5
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292004,ANEKAL,4,OBC,1222,1133,2218,1938,1736,1684,1677,1544,1570,1216,929,778,125,47,1983,1884,1641,1633,1600,1504,1454,1135,874,799,61,71
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292001,SOUTH1,4,OBC,3534,3184,5383,4879,4717,4474,4377,4003,3933,3482,3452,3065,93,52,5160,4607,4324,4235,4345,4037,3927,3350,3215,3109,371,270
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292008,SOUTH2,4,OBC,3687,3367,4228,4099,3993,3764,3633,3563,3463,3068,2864,2518,171,125,4185,3930,3852,3809,3712,3576,3585,3119,2800,2577,355,386
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292009,SOUTH3,4,OBC,1380,1287,3336,3096,2892,2828,2664,2518,2498,2279,1854,1755,19,10,3123,2819,2701,2628,2513,2418,2458,2230,1752,1699,11,15
2014-15,29,Karnataka,2920,BENGALURU U SOUTH,292003,SOUTH4,4,OBC,2285,2019,5801,5336,4776,4621,4366,4071,3833,3790,3214,3046,92,78,5359,4791,4557,4361,3993,3807,3486,3345,2948,2726,134,104
