Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,5,HSS (VI-XII),1,Department of Education,Urban,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,11,HSS (XI-XII),5,Private Unaided (Recognized),Urban,2,Girls,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,11,HSS (XI-XII),1,Department of Education,Rural,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,11,HSS (XI-XII),4,Government Aided,Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,11,HSS (XI-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,1,2,0,1,0,2,0,2,1,2,2,1,2,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,11,HSS (XI-XII),4,Government Aided,Urban,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,2,0,1,0,2,0,2,1,2,2,0,2,0,2,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,11,HSS (XI-XII),5,Private Unaided (Recognized),Urban,3,Co-Ed,3,3,0,3,3,3,3,3,3,3,0,0,0,0,2,3,0,2,0,3,0,3,1,3,3,1,3,0,3,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,189,187,0,3,188,189,189,189,189,189,0,0,0,0,111,4,0,0,171,78,0,189,189,185,46,0,120,0,140,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,6,6,0,5,6,6,6,6,6,6,0,0,0,0,3,5,0,0,0,6,0,6,3,5,5,0,3,0,5,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,1,PS (I-V),1,Department of Education,Urban,3,Co-Ed,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,2,2,2,1,0,2,0,2,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,1,PS (I-V),5,Private Unaided (Recognized),Urban,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,14,14,0,14,14,14,14,14,14,14,0,0,0,0,11,14,0,8,0,13,3,14,13,13,14,3,1,0,14,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,6,SS (I-X),5,Private Unaided (Recognized),Urban,3,Co-Ed,6,6,0,6,6,6,6,6,6,6,0,0,0,0,0,6,0,4,0,4,0,6,6,6,6,1,1,0,6,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,8,SS (IX-X),1,Department of Education,Rural,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,9,9,0,8,9,9,9,9,9,9,0,0,0,0,6,8,0,0,8,9,0,9,9,7,9,0,4,0,9,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,7,SS (VI-X),4,Government Aided,Rural,3,Co-Ed,17,17,0,10,17,17,17,17,17,17,0,0,0,0,12,15,0,1,15,15,1,17,17,17,16,3,1,0,16,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,7,SS (VI-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,0,0,0,2,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,7,SS (VI-X),4,Government Aided,Urban,3,Co-Ed,2,2,0,1,2,2,2,1,2,2,0,0,0,0,1,2,0,0,2,1,0,2,2,2,2,1,0,0,2,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,7,SS (VI-X),5,Private Unaided (Recognized),Urban,3,Co-Ed,3,3,0,3,3,3,3,3,3,3,0,0,0,0,0,3,0,2,0,2,0,3,3,3,3,2,0,0,3,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,2,UPS (I-VIII),1,Department of Education,Rural,3,Co-Ed,93,93,0,29,93,93,93,93,93,93,0,0,0,0,42,33,0,0,89,59,0,93,93,93,51,0,76,0,63,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,2,UPS (I-VIII),4,Government Aided,Rural,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,1,2,0,2,2,2,2,0,0,0,2,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,9,9,0,8,9,9,9,9,9,9,0,0,0,0,5,9,0,0,0,7,1,9,8,9,9,0,4,0,9,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,2,UPS (I-VIII),1,Department of Education,Urban,3,Co-Ed,4,4,0,1,4,4,4,4,4,4,0,0,0,0,1,3,0,0,3,3,0,4,4,4,2,0,4,0,3,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,2,UPS (I-VIII),4,Government Aided,Urban,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,2,UPS (I-VIII),5,Private Unaided (Recognized),Urban,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,2,0,2,2,2,2,0,0,0,2,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292101,NELAMANGALA,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,3,HSS (I-XII),5,Private Unaided (Recognized),Urban,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,10,HSS (IX-XII),5,Private Unaided (Recognized),Urban,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,5,HSS (VI-XII),1,Department of Education,Urban,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0
2015-16,29,Karnataka,2921,BENGALURU RURAL,292102,DODDABALLAPURA,11,HSS (XI-XII),1,Department of Education,Rural,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
