Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,1,PS (I-V) ,7,Ph.D,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),7,Ph.D,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),7,Ph.D,5,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),7,Ph.D,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,5, HSS (VI-XII),8,Post Doctoral,6,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,5, HSS (VI-XII),7,Ph.D,6,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,2,UPS (I-VIII) ,7,Ph.D,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,3,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),7,Ph.D,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,3,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,5, HSS (VI-XII),7,Ph.D,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,2,UPS (I-VIII) ,7,Ph.D,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),7,Ph.D,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,4,4
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),7,Ph.D,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),6,M.Phil,6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,2,UPS (I-VIII) ,8,Post Doctoral,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),5,Post graduate,5,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),5,Post graduate,5,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,5, HSS (VI-XII),5,Post graduate,4,M.Ed. or equivalent,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,9,5,4
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),5,Post graduate,6,None,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,1,PS (I-V) ,5,Post graduate,5,Others,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,5, HSS (VI-XII),5,Post graduate,6,None,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),5,Post graduate,4,M.Ed. or equivalent,1,2,0,0,0,0,0,0,0,1,0,0,10,10,2,1,7,6,40,20,20
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),5,Post graduate,6,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,3,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),6,M.Phil,4,M.Ed. or equivalent,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),6,M.Phil,5,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,11,HSS (XI-XII),6,M.Phil,4,M.Ed. or equivalent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),6,M.Phil,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,2,UPS (I-VIII) ,6,M.Phil,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,7,SS (VI-X),5,Post graduate,7,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,5, HSS (VI-XII),6,M.Phil,5,Others,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,6, SS (I-X) ,6,M.Phil,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,2,11,0,0,2,4,0,0,1,2,0,0,0,0,22,5,17
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,3,0,1,0,3,0,0,0,1,0,0,0,0,9,1,8
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),3,HSS (I-XII),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,2,Secondary,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),3,HSS (I-XII),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),7,SS (VI-X),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
