Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),3,HSS (I-XII),4,Graduate,6,None,0,0,0,0,6,29,2,7,1,23,0,0,4,18,8,43,0,7,148,21,127
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),8,SS (IX-X),4,Graduate,6,None,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,1,7
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),7,SS (VI-X),4,Graduate,7,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,1
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),8,SS (IX-X),4,Graduate,5,Others,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,10,1,9
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),5, HSS (VI-XII),4,Graduate,6,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),11,HSS (XI-XII),4,Graduate,5,Others,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,7,12,4,8
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),7,SS (VI-X),4,Graduate,6,None,0,1,0,0,0,0,0,0,0,0,0,0,12,27,0,0,0,0,40,12,28
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),1,PS (I-V) ,4,Graduate,6,None,0,0,0,0,12,50,0,1,0,2,0,0,0,2,0,0,0,0,67,12,55
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),2,UPS (I-VIII) ,4,Graduate,7,Diploma/degree in special education,0,0,0,0,1,10,0,1,1,11,0,1,0,0,0,1,0,3,29,2,27
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),6, SS (I-X) ,4,Graduate,6,None,1,4,0,0,64,442,13,34,40,230,2,19,44,229,2,9,0,15,1148,166,982
