Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,8,Unrecognized,2,UPS (I-VIII) ,3,Higher secondary,7,Diploma/degree in special education,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),6, SS (I-X) ,6,M.Phil,3,B.Ed. or equivalent,0,4,0,0,1,5,0,1,2,3,1,1,1,2,1,1,0,0,23,6,17
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),2,UPS (I-VIII) ,6,M.Phil,3,B.Ed. or equivalent,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),4,UPS (VI-VIII) ,5,Post graduate,7,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),11,HSS (XI-XII),5,Post graduate,6,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,14,0,14
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),3,HSS (I-XII),5,Post graduate,7,Diploma/degree in special education,1,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,8,3,5
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),2,UPS (I-VIII) ,6,M.Phil,4,M.Ed. or equivalent,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),6, SS (I-X) ,5,Post graduate,7,Diploma/degree in special education,0,2,0,0,10,38,0,0,6,37,0,1,14,30,0,1,0,3,142,30,112
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),7,SS (VI-X),5,Post graduate,7,Diploma/degree in special education,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),11,HSS (XI-XII),6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),7,SS (VI-X),6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),6, SS (I-X) ,6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,1,0,0,0,0,0,0,1,2,0,1,0,5,0,0,0,1,11,1,10
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),1,PS (I-V) ,5,Post graduate,7,Diploma/degree in special education,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),3,HSS (I-XII),6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2920,BENGALURU U SOUTH,5,Private Unaided (Recognized),2,UPS (I-VIII) ,5,Post graduate,7,Diploma/degree in special education,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,7,0,7
