state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Arvantigepura,Arvantigepura,0000373281,0000056428,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Soluru,Soluru,0000373307,0000056457,"Govt. Lower Primary School",6,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Naganaikanahalli,Naganayakanahalli,0000373310,0000056464,"Govt. Lower Primary School",24,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Thimmasandra,Thimmasandra,0000373320,0000056474,"Govt. Lower Primary School",7,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Choodahalli,Choodahalli,0000373326,0000056481,"Govt. Lower Primary School",35,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Indlawadipura,Indlawadipura,0000373327,0000056483,"Govt. Lower Primary School",8,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Kadajakanahalli,Kadajakanahalli,0000373334,0000056488,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Chikkahagde,Chikkahagde,0000373337,0000056491,"Govt. Lower Primary School",3,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Avadedenahalli,Avadedenahalli,0000373343,0000056496,"Govt. Lower Primary School",25,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Thatnahalli,Thatnahalli,0000373344,0000056498,"Govt. Primary School",15,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Vaderamanchenahalli,Vaderamanchenahalli,0000373362,0000056524,"Govt. Lower Primary School",99,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Begihalli,Begihalli,0000373404,0000056570,"Govt. Lower Primary School",107,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ballur,Arehalli,Arehalli,0000373483,0000056625,"Govt. Lower Primary School",30,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mayasandra,Mutsandra,Mutsandra,0000373493,0000056637,"Govt. Lower Primary School",11,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Indlabele,Indlabele,0000373495,0000056641,"Govt. Primary School",24,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Arenur,Arenur,0000373498,0000056647,"Govt. Upper Primary School",25,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,"Dodda Thimmasandra","Dodda Thimmasandra",0000373520,0000056684,"Govt. Lower Primary School",3,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Chinnaiahnapalya,Chinnaiahanapalya,0000373290,0001806870,"Govt. Lower Primary School",26,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Vannakanahalli,Vannakanahalli,0000373305,0002740304,"GLPS ASHRAYA NAGARA",21,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Choodenahalli,Kalyanakanahalli,0000373306,0002389573,"Govt Lower primary school",5,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Tammanayakanahalli,Arehalli,0000373325,0002737012,"Govt Lower Primary School",4,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Kadajakanahalli,"Thimmaiahana Doddi",0000373335,0001436601,GLPS,17,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,"Kammasandra Agrahara","Kammasandra Agrahara",0000373339,0001785790,"Govt. Lower Primary School",25,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Bovipalya,"Kuthaganahalli Bovi Palya",0000373523,0001880149,"Govt. Lower Primary School",18,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,"Chikkanahalli Kamanahalli","Chikkanahalli Kamanahalli",0000373526,0000056692,"Govt. Lower Primary School",3,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,"S. Medihalli",Sultanpalya,0000373541,0000056708,"Govt. Lower Primary School",11,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,"Volagere Kallahalli","Volagere Kallahalli",0000373550,0000056718,"Govt. Lower Primary School",17,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,Chambenahalli,Chambenahalli,0000373552,0000056720,"Govt. Lower Primary School",33,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,"Thigala Chowdadenahalli","Thigala Chowdadenahalli",0000373553,0000056721,"Govt. Higher Primary School",119,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,Samanahalli,Samanahalli,0000373554,0000056723,"Govt. Lower Primary School",12,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,Kommasandra,Kommasandra,0000373556,0000056726,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Chikkanekundi,Chikkanekundi,0000373573,0000056750,"Govt. Lower Primary School",32,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Bidaraguppe,"Silk Farm",0001622878,0002736969,"Govt lower Primary school",16,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,"Muthurayaswamy Doddi","Muthurayaswamy Doddi",0001622893,0002740470,GLPS,15,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Sabmangala,Sabmangala,0000373266,0001039593,"Govt High School",81,Govt.,"Secondary/Sr. Sec. only with grades 9 and 10",2024-06-07
