state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,anganwadi_id,anganwadi_name,no_of_student,anganwadi_category,update_date
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Vaddarapalya,Vaddarapalya,0001622882,0002228765,"Haragadde Vaddarapalya A",73,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Haragadde,Haragadde,0001622881,0001326929,"Haragadde A",98,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Dommasandra,Dommasandra,Dommasandra,0000373592,0001837633,"Dommasandra  Darga Colony",97,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Dommasandra,Dommasandra,Dommasandra,0000373592,0001837597,"Dommasandra  E",75,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Shantipura,"Chikka Nagamangala",Vaddarapalya,0000373586,0002374861,Chikkanagamangala,55,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Gulimangala,Gulimangala,0000373583,0000056763,Gulimangala,45,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Avalahalli,Avalahalli,0000373582,0001327888,Avalahalli,31,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Harohalli,Harohalli,0000373575,0002417858,"huskuru harohalli",35,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Chikkanekundi,Chikkanekundi,0000373573,0001328060,"Chikkanekundi Badavane",69,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,"Nekundi Dommasandra","Nekundi Dommasandra",0000373572,0000056749,"Nekundi Dommasandra",84,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Heggondahalli,Heggondahalli,0000373570,0001328068,Heggondahalli,52,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Ramanayakanahalli,Ramanayakanahalli,0000373566,0002668092,Ramanayakanahalli,56,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Gonigattapura,Gonigattapura,0000373565,0000056742,Gonigattapura,62,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Neriga,Neriga,0000373564,0000056740,Neriga,80,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,"S. Medihalli","S. Medihalli",0000373539,0000056706,"S. Medihalli",51,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,Sollepura,Bikkanahalli,0000373537,0000056702,Bikkanahalli,62,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Indlabele,Indlabele,0000373495,0000056642,Indlabele,70,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Balagaranahalli,Balagaranahalli,0000373476,0001327842,Balagaranahalli-A,86,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Itchangur,Vaddarapalya,0000373475,0001327850,"Ichchanguru Vaddarapalya A",109,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Itchangur,Itchangur,0000373474,0001327845,Itchangur,61,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ragihalli,Shivanahalli,Shivanahalli,0000373451,0000056604,Shivanahalli,38,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,"Kannayaka Agrahara","Kannayaka Agrahara",0000373446,0001327998,"Kannayaka Agrahara",64,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Bytarayanadoddi,"Byatarayana Doddi",0000373444,0001327987,"Byatarayana Doddi",80,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Boothanahalli,Boothanahalli,0000373440,0001327991,Boothanahalli,35,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Sampigehalli,Sampigehalli,0000373433,0001327976,"B Sampigehalli",106,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,"Chinnaiahna Palya",Chinnaiahanapalya,0000373424,0001904561,"S Chinnaihanapalya",39,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Hullahalli,Hullahalli,0000373422,0001904586,"Hullahalli B",65,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Hullahalli,Hullahalli,0000373422,0000056584,"Hullahalli A",53,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Laxmipura,Laxmipura,0000373413,0000056578,Laxmipura,52,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,"Hale Sampigehalli","Hale Sampigehalli",0000373412,0001327927,"Hale Sampigehalli",90,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,"Nosenur Gollahalli","Nosenur Gollahalli",0000373353,0000056511,"N Gollahalli",31,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Seethanayakanahalli,Seethanayakanahalli,0000373350,0002228706,Seethanayakanahalli,24,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Kunimadiwala,Kunimadiwala,0000373345,0001786566,Kunimadiwala,36,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Kadajakanahalli,"Thimmaiahana Doddi",0000373335,0002423757,"Thimmaiahana Doddi(Mini)",24,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Sidihoskote,Sidihoskote,0000373291,0000056440,Sidihoskote-A,60,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Chinnaiahnapalya,Chinnaiahanapalya,0000373290,0001806997,Chinnaiahanapalya,41,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Karpoor,Karpoor,0000373278,0000056423,Karpoor,81,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Madiwala,"S. Madiwala",0000373271,0000056412,"Samanduru Madiwala",48,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Samandur,Samandur,0000373270,0000056410,Samanduru,37,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Kuvempunagara,Kuvempunagara,0000373264,0001834924,KUVEMPUNAGARA-B,45,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Muthagatti,Muthagatti,0000373263,0001834969,MUTHAGATTI,30,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,"S. Medihalli",Sultanpalya,0000373541,0001833368,Sulthanpalya,55,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Sarjapura,Sarjapura,Sarjapura,0000373516,0001805093,"sarjapura Vidyanagara",99,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Sarjapura,Sarjapura,Sarjapura,0000373516,0001804897,"Maruthi nagara",88,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Sarjapura,Sarjapura,Sarjapura,0000373516,0000056679,"Sarjapura B",113,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mayasandra,Mayasandra,Mayasandra,0000373490,0002414373,Mayasandra-B,62,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ballur,Ballur,Ballur,0000373484,0002666350,"Om Shakthi Layout",71,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Guddahatti,Guddahatti,0000373480,0000056620,Guddahatti,64,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Neralur,Neralur,0000373479,0002228159,Neralur-C,72,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Yadavanahalli,Yadavanahalli,0000373477,0001327851,Yadavanahalli-A,82,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Kachanayakanahalli,Kachanayakanahalli,0000373402,0001770503,"Kachanayakanahalli B",90,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Kachanayakanahalli,Kachanayakanahalli,0000373402,0001770447,"Kachanayakanahalli Basaveshwara Nagar",132,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Yarandahalli,Yarandahalli,0000373399,0000056562,Yarandahalli,114,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Rajapura,Rajapura,0000373396,0000056558,Rajapura,46,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Shikaripalya,Shikaripalya,0000373393,0002058433,"Shikaripalya C",107,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Maragondanahalli,Maragondanahalli,0000373392,0000056551,Maragondanahalli,63,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Bommandahalli,Bommandahalli,0000373370,0000056533,Bommandahalli,55,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Marsoor,Marsoor,0000373309,0001880630,"Marsoor Indiranagara",49,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Soluru,Soluru,0000373307,0000056458,Soluru,31,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Sunavara,Sunavara,0000373299,0000056449,Sunavara,26,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Surgajakanahalli,Surgajakanahalli,0000373297,0001806418,Suragajakanahalli,44,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ragihalli,Koratageredoddi,Eraligeredoddi,0001622897,0001327949,Eraligeredoddi,42,Govt.,2023-01-13
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,"Muthurayaswamy Doddi","Muthurayaswamy Doddi",0001622893,0001962320,"Muthurayaswamy doddi",30,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,"Mada Pattana",Madapatna,0001622883,0002228933,"Madapattana C",89,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Haragadde,Haragadde,0001622881,0002227767,"Haragadde B",78,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Shantipura,Choodasandra,Choodasandra,0000373591,0001327883,Choodasandra,135,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Huskuru,Huskuru,0000373579,0000056760,Huskur,79,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,"Halsahalli Thippasandra","Halsahalli Thippasandra",0000373571,0002668088,Halsahalli,53,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Billapura,Adigarakallahalli,Adigarakallahalli,0000373538,0002413742,"AK Colony",55,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,Kotiganahalli,Kotiganahalli,0000373536,0001833275,"Kotiganahalli (Mini)",51,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Billapura,Booragunte,Booragunte,0000373533,0001328089,Booragunte,61,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mayasandra,Mutsandra,Mutsandra,0000373493,0000056638,Mutsandra,38,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mayasandra,Harohalli,Harohalli,0000373491,0002414198,Harohalli,45,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,"Hakkipikki Colony","Akki Pikki Colony",0000373441,0001327996,"Akki Pikki Colony",100,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Kariyappanahalli,Kariyappanahalli,0000373432,0001327978,Kariyappanahalli,91,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Sakalavara,Sakalavara,0000373419,0000056582,Sakalavara,58,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Malenallasandra,Malenallasandra,0000373410,0001327923,Malenallasandra,95,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Vaddarapalya,Vaddarapalya,0000373405,0001904692,"Begihalli Vaddarapalya",20,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Begihalli,Begihalli,0000373404,0000056571,Begihalli,87,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,"Koppa Gate","Koppa Gate",0000373384,0002058242,"koppa gate B",73,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Koppa,Koppa,0000373383,0000056541,Koppa,58,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Madappanadoddi,"Madappana Doddi",0000373377,0001962149,"Madappana Doddi (Mini)",37,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Kasavanakunte,Kasavanakunte,0000373366,0001328005,Kasavanakunte,35,Govt.,2024-06-07
